OBJECTID,DESCRIPTION,ID,DIVINDX_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
48,90027 (Los Angeles),90027,76.9,76.9,31372198.26953125,32920.09427313121,1756053718998,Synapse54,1756053718998,Synapse54
49,90028 (Los Angeles),90028,84.5,84.5,5706250.0,11998.45758305025,1756053718998,Synapse54,1756053718998,Synapse54
50,90029 (Los Angeles),90029,86.6,86.6,5052500.0,10335.927415450915,1756053718998,Synapse54,1756053718998,Synapse54
51,90031 (Los Angeles),90031,85.2,85.2,15245000.0,29245.747798201824,1756053718998,Synapse54,1756053718998,Synapse54
52,90032 (Los Angeles),90032,80.5,80.5,17751250.0,23477.11070817594,1756053718998,Synapse54,1756053718998,Synapse54
53,90033 (Los Angeles),90033,67.5,67.5,11357500.0,17818.53622715837,1756053718998,Synapse54,1756053718998,Synapse54
54,90034 (Los Angeles),90034,85.2,85.2,12052500.0,20673.70153545651,1756053718998,Synapse54,1756053718998,Synapse54
55,90035 (Los Angeles),90035,65.4,65.4,7927500.0,15526.556690408112,1756053718998,Synapse54,1756053718998,Synapse54
56,90036 (Los Angeles),90036,69.9,69.9,9107500.0,12994.479962948375,1756053718998,Synapse54,1756053718998,Synapse54
57,90037 (Los Angeles),90037,74.0,74.0,10508750.0,14621.518912293803,1756053718998,Synapse54,1756053718998,Synapse54
58,90038 (Los Angeles),90038,86.4,86.4,5625000.0,11051.78344238091,1756053718998,Synapse54,1756053718998,Synapse54
59,90039 (Los Angeles),90039,85.5,85.5,14937500.0,26540.88635537041,1756053718998,Synapse54,1756053718998,Synapse54
60,90040 (Los Angeles),90040,64.6,64.6,21627500.0,29039.576808869337,1756053718998,Synapse54,1756053718998,Synapse54
61,90041 (Los Angeles),90041,86.4,86.4,13453750.0,23297.234669617384,1756053718998,Synapse54,1756053718998,Synapse54
62,90042 (Los Angeles),90042,85.9,85.9,16600000.0,26111.097274672105,1756053718998,Synapse54,1756053718998,Synapse54
63,90043 (Los Angeles),90043,81.1,81.1,15488750.0,20767.813783140336,1756053718998,Synapse54,1756053718998,Synapse54
64,90044 (Los Angeles),90044,80.1,80.1,19268750.0,24219.287926733556,1756053718998,Synapse54,1756053718998,Synapse54
65,90045 (Los Angeles),90045,80.1,80.1,41837500.0,33857.810168288044,1756053718998,Synapse54,1756053718998,Synapse54
66,90046 (Los Angeles),90046,62.3,62.3,21017500.0,26444.659313160097,1756053718998,Synapse54,1756053718998,Synapse54
67,90047 (Los Angeles),90047,80.8,80.8,18415000.0,24897.163606844646,1756053718998,Synapse54,1756053718998,Synapse54
68,90048 (Los Angeles),90048,60.1,60.1,7258750.0,13304.136755133153,1756053718998,Synapse54,1756053718998,Synapse54
69,90049 (Los Angeles),90049,54.0,54.0,56788750.0,41226.96742147488,1756053718998,Synapse54,1756053718998,Synapse54
70,90056 (Los Angeles),90056,64.4,64.4,9336250.0,20906.423185842752,1756053718998,Synapse54,1756053718998,Synapse54
71,90057 (Los Angeles),90057,83.9,83.9,3300000.0,8096.333135251578,1756053718998,Synapse54,1756053718998,Synapse54
72,90058 (Los Angeles),90058,75.1,75.1,22471250.0,30940.32773295171,1756053718998,Synapse54,1756053718998,Synapse54
73,90059 (Los Angeles),90059,78.5,78.5,12669445.7890625,21754.220694967255,1756053718998,Synapse54,1756053718998,Synapse54
74,90061 (Los Angeles),90061,79.5,79.5,9727500.0,16202.685102545658,1756053718998,Synapse54,1756053718998,Synapse54
75,90062 (Los Angeles),90062,81.6,81.6,7010000.0,13464.50413023988,1756053718998,Synapse54,1756053718998,Synapse54
76,90063 (Los Angeles),90063,63.1,63.1,13716250.0,20839.20336600833,1756053718998,Synapse54,1756053718998,Synapse54
77,90064 (Los Angeles),90064,73.9,73.9,14533750.0,20316.005939246275,1756053718998,Synapse54,1756053718998,Synapse54
78,90065 (Los Angeles),90065,87.1,87.1,20842500.0,28520.189526760132,1756053718998,Synapse54,1756053718998,Synapse54
79,90066 (Los Angeles),90066,82.3,82.3,18028750.0,22372.197235424435,1756053718998,Synapse54,1756053718998,Synapse54
80,90067 (Los Angeles),90067,50.1,50.1,1286250.0,6389.032390789044,1756053718998,Synapse54,1756053718998,Synapse54
81,90068 (Los Angeles),90068,64.1,64.1,30299051.73046875,36845.66321667839,1756053718998,Synapse54,1756053718998,Synapse54
82,90069 (West Hollywood),90069,57.4,57.4,8231250.0,13516.653258932867,1756053718998,Synapse54,1756053718998,Synapse54
83,90071 (Los Angeles),90071,86.6,86.6,498750.0,2796.3291102264193,1756053718998,Synapse54,1756053718998,Synapse54
84,90073 (Los Angeles),90073,81.7,81.7,361250.0,2444.855032486122,1756053718998,Synapse54,1756053718998,Synapse54
85,90077 (Los Angeles),90077,51.7,51.7,28206250.0,29891.429584163092,1756053718998,Synapse54,1756053718998,Synapse54
86,90089 (Los Angeles),90089,79.2,79.2,641250.0,5578.818673295189,1756053718998,Synapse54,1756053718998,Synapse54
87,90094 (Playa Vista),90094,74.8,74.8,2206250.0,9075.570978848275,1756053718998,Synapse54,1756053718998,Synapse54
88,90095 (Los Angeles),90095,60.9,60.9,1341250.0,5545.281266875468,1756053718998,Synapse54,1756053718998,Synapse54
89,90201 (Bell Gardens),90201,60.1,60.1,22776250.0,31174.90594556538,1756053718998,Synapse54,1756053718998,Synapse54
90,90210 (Beverly Hills),90210,46.5,46.5,40693750.0,35495.540610269694,1756053718998,Synapse54,1756053718998,Synapse54
91,90211 (Beverly Hills),90211,55.3,55.3,2545000.0,8434.386417247204,1756053718998,Synapse54,1756053718998,Synapse54
92,90212 (Beverly Hills),90212,56.8,56.8,3456250.0,9132.921549218636,1756053718998,Synapse54,1756053718998,Synapse54
93,90220 (Compton),90220,81.1,81.1,26670000.0,26278.341178066632,1756053718998,Synapse54,1756053718998,Synapse54
94,90221 (Compton),90221,74.4,74.4,20546250.0,30704.222675775596,1756053718998,Synapse54,1756053718998,Synapse54
95,90222 (Compton),90222,77.5,77.5,9812500.0,15082.427126403216,1756053718998,Synapse54,1756053718998,Synapse54
96,90230 (Culver City),90230,86.6,86.6,13540000.0,23852.03509703816,1756053718998,Synapse54,1756053718998,Synapse54
97,90232 (Culver City),90232,81.7,81.7,8846250.0,20569.320546472754,1756053718998,Synapse54,1756053718998,Synapse54
98,90240 (Downey),90240,82.0,82.0,11008750.0,16046.5324903168,1756053718998,Synapse54,1756053718998,Synapse54
99,90241 (Downey),90241,81.5,81.5,18818750.0,26209.754460046563,1756053718998,Synapse54,1756053718998,Synapse54
100,90242 (Downey),90242,80.1,80.1,17316250.0,24176.05001918894,1756053718998,Synapse54,1756053718998,Synapse54
101,90245 (El Segundo),90245,71.7,71.7,20489078.9453125,21290.512807961102,1756053718998,Synapse54,1756053718998,Synapse54
102,90247 (Gardena),90247,88.3,88.3,13956250.0,18524.930291328696,1756053718998,Synapse54,1756053718998,Synapse54
103,90248 (Gardena),90248,88.5,88.5,16600000.0,29520.36402804825,1756053718998,Synapse54,1756053718998,Synapse54
104,90249 (Gardena),90249,89.2,89.2,11110000.0,15491.694499783222,1756053718998,Synapse54,1756053718998,Synapse54
105,90250 (Hawthorne),90250,88.3,88.3,25368750.0,28851.36344786999,1756053718998,Synapse54,1756053718998,Synapse54
106,90254 (Hermosa Beach),90254,57.0,57.0,5741250.0,10335.552881463193,1756053718998,Synapse54,1756053718998,Synapse54
107,90255 (Huntington Park),90255,58.6,58.6,14255000.0,26085.551407584615,1756053718998,Synapse54,1756053718998,Synapse54
108,90260 (Lawndale),90260,86.3,86.3,9605000.0,17402.683123305447,1756053718998,Synapse54,1756053718998,Synapse54
109,90262 (Lynwood),90262,68.1,68.1,18086556.6640625,26857.017283522808,1756053718998,Synapse54,1756053718998,Synapse54
110,90263 (Malibu),90263,66.0,66.0,890000.0,4836.364924674755,1756053718998,Synapse54,1756053718998,Synapse54
111,90265 (Malibu),90265,49.4,49.4,358065000.0,160105.19551106927,1756053718998,Synapse54,1756053718998,Synapse54
112,90266 (Manhattan Beach),90266,57.9,57.9,15016250.0,18024.215173107365,1756053718998,Synapse54,1756053718998,Synapse54
113,90270 (Maywood),90270,56.9,56.9,4438750.0,12108.120723799591,1756053718998,Synapse54,1756053718998,Synapse54
114,90272 (Pacific Palisades),90272,46.0,46.0,93533750.0,48353.98962394359,1756053718998,Synapse54,1756053718998,Synapse54
115,90274 (Palos Verdes Peninsula),90274,65.7,65.7,45242500.0,67826.04698995463,1756053718998,Synapse54,1756053718998,Synapse54
116,90275 (Rancho Palos Verdes),90275,72.6,72.6,50560467.390625,74858.19724477628,1756053718998,Synapse54,1756053718998,Synapse54
117,90277 (Redondo Beach),90277,68.0,68.0,13728660.71484375,28384.916700767837,1756053718998,Synapse54,1756053718998,Synapse54
118,90278 (Redondo Beach),90278,77.2,77.2,13486250.0,19494.564275167202,1756053718998,Synapse54,1756053718998,Synapse54
119,90280 (South Gate),90280,62.4,62.4,28788750.0,39688.62557489182,1756053718998,Synapse54,1756053718998,Synapse54
120,90290 (Topanga),90290,51.1,51.1,70541250.0,53160.49650329473,1756053718998,Synapse54,1756053718998,Synapse54
121,90291 (Venice),90291,70.6,70.6,9812500.0,12876.741552663525,1756053718998,Synapse54,1756053718998,Synapse54
122,90292 (Marina del Rey),90292,63.0,63.0,8218750.0,32395.526802590502,1756053718998,Synapse54,1756053718998,Synapse54
123,90293 (Playa del Rey),90293,69.1,69.1,9491250.0,25369.42274213685,1756053718998,Synapse54,1756053718998,Synapse54
124,90301 (Inglewood),90301,84.7,84.7,9536250.0,14740.37614674179,1756053718998,Synapse54,1756053718998,Synapse54
125,90302 (Inglewood),90302,85.9,85.9,7050000.0,14576.382803700373,1756053718998,Synapse54,1756053718998,Synapse54
126,90303 (Inglewood),90303,83.0,83.0,6832500.0,11584.415690288111,1756053718998,Synapse54,1756053718998,Synapse54
127,90304 (Inglewood),90304,70.4,70.4,6392500.0,14711.933440991874,1756053718998,Synapse54,1756053718998,Synapse54
128,90305 (Inglewood),90305,57.1,57.1,10065000.0,14350.357124637427,1756053718998,Synapse54,1756053718998,Synapse54
129,90401 (Santa Monica),90401,71.0,71.0,3258750.0,8627.600002486844,1756053718998,Synapse54,1756053718998,Synapse54
130,90402 (Santa Monica),90402,48.5,48.5,7656250.0,16278.906067432124,1756053718998,Synapse54,1756053718998,Synapse54
131,90403 (Santa Monica),90403,57.6,57.6,5201250.0,12765.037071367307,1756053718998,Synapse54,1756053718998,Synapse54
132,90404 (Santa Monica),90404,81.6,81.6,7661250.0,12293.519777068597,1756053718998,Synapse54,1756053718998,Synapse54
133,90405 (Santa Monica),90405,67.0,67.0,9833750.0,14364.27920898923,1756053718998,Synapse54,1756053718998,Synapse54
134,90501 (Torrance),90501,88.4,88.4,21363750.0,22477.44421810747,1756053718998,Synapse54,1756053718998,Synapse54
135,90502 (Torrance),90502,87.1,87.1,8408750.0,15904.164101997872,1756053718998,Synapse54,1756053718998,Synapse54
136,90503 (Torrance),90503,76.1,76.1,22778750.0,19550.185198607072,1756053718998,Synapse54,1756053718998,Synapse54
137,90504 (Torrance),90504,83.5,83.5,14150000.0,16144.870254103427,1756053718998,Synapse54,1756053718998,Synapse54
138,90505 (Torrance),90505,76.1,76.1,21650000.0,21596.455573846477,1756053718998,Synapse54,1756053718998,Synapse54
139,90506 (Torrance),90506,0.0,0.0,958750.0,4384.906543896758,1756053718998,Synapse54,1756053718998,Synapse54
140,90601 (Whittier),90601,82.4,82.4,38844044.1171875,55144.6720873256,1756053718998,Synapse54,1756053718998,Synapse54
141,90602 (Whittier),90602,78.8,78.8,10911250.0,26607.57074945912,1756053718998,Synapse54,1756053718998,Synapse54
142,90603 (Whittier),90603,85.0,85.0,12587500.0,25128.37504031684,1756053718998,Synapse54,1756053718998,Synapse54
143,90604 (Whittier),90604,83.2,83.2,16517500.0,24397.16301851491,1756053718998,Synapse54,1756053718998,Synapse54
144,90605 (Whittier),90605,78.7,78.7,20322500.0,38244.19602659896,1756053718998,Synapse54,1756053718998,Synapse54
145,90606 (Whittier),90606,74.4,74.4,13908750.0,23051.640851957916,1756053718998,Synapse54,1756053718998,Synapse54
146,90620 (Buena Park),90620,86.7,86.7,24891250.0,36184.85321761223,1756053718998,Synapse54,1756053718998,Synapse54
147,90621 (Buena Park),90621,86.7,86.7,14926250.0,21087.679435974318,1756053718998,Synapse54,1756053718998,Synapse54
148,90623 (La Palma),90623,76.4,76.4,6976250.0,16169.900377776361,1756053718998,Synapse54,1756053718998,Synapse54
149,90630 (Cypress),90630,80.2,80.2,23375000.0,30591.584822141205,1756053718998,Synapse54,1756053718998,Synapse54
150,90631 (La Habra),90631,87.0,87.0,51115000.0,41125.47464364195,1756053718998,Synapse54,1756053718998,Synapse54
151,90638 (La Mirada),90638,87.9,87.9,28975000.0,36363.589685550694,1756053718998,Synapse54,1756053718998,Synapse54
152,90639 (La Mirada),90639,78.0,78.0,628750.0,4050.9365282633644,1756053718998,Synapse54,1756053718998,Synapse54
153,90640 (Montebello),90640,80.7,80.7,31072500.0,33723.07592538333,1756053718998,Synapse54,1756053718998,Synapse54
154,90650 (Norwalk),90650,84.0,84.0,36745000.0,34075.03927766407,1756053718998,Synapse54,1756053718998,Synapse54
155,90660 (Pico Rivera),90660,72.3,72.3,32288750.0,29498.64150538908,1756053718998,Synapse54,1756053718998,Synapse54
156,90670 (Santa Fe Springs),90670,82.3,82.3,32167500.0,52293.866012792765,1756053718998,Synapse54,1756053718998,Synapse54
157,90680 (Stanton),90680,87.3,87.3,10142500.0,25187.490876299296,1756053718998,Synapse54,1756053718998,Synapse54
158,90701 (Artesia),90701,84.7,84.7,6072500.0,15226.251904130706,1756053718998,Synapse54,1756053718998,Synapse54
159,90703 (Cerritos),90703,66.7,66.7,33382500.0,43957.88438492369,1756053718998,Synapse54,1756053718998,Synapse54
160,90704 (Avalon),90704,82.3,82.3,487926250.0,217962.03793947026,1756053718998,Synapse54,1756053718998,Synapse54
161,90706 (Bellflower),90706,88.2,88.2,23067500.0,21705.237676308017,1756053718998,Synapse54,1756053718998,Synapse54
162,90710 (Harbor City),90710,89.7,89.7,8730000.0,14589.089922329094,1756053718998,Synapse54,1756053718998,Synapse54
163,90712 (Lakewood),90712,88.6,88.6,16535000.0,22577.300170428734,1756053718998,Synapse54,1756053718998,Synapse54
164,90713 (Lakewood),90713,84.4,84.4,12796250.0,16128.32750732679,1756053718998,Synapse54,1756053718998,Synapse54
165,90715 (Lakewood),90715,89.2,89.2,6483750.0,15164.516714525105,1756053718998,Synapse54,1756053718998,Synapse54
166,90716 (Hawaiian Gardens),90716,78.7,78.7,3653750.0,9011.135593632347,1756053718998,Synapse54,1756053718998,Synapse54
167,90717 (Lomita),90717,87.7,87.7,7921250.0,16645.18298324878,1756053718998,Synapse54,1756053718998,Synapse54
168,90720 (Los Alamitos),90720,77.4,77.4,23170000.0,25290.212669775807,1756053718998,Synapse54,1756053718998,Synapse54
169,90723 (Paramount),90723,76.4,76.4,17825000.0,25500.519197521357,1756053718998,Synapse54,1756053718998,Synapse54
170,90731 (San Pedro),90731,86.7,86.7,34893750.0,86960.88531120957,1756053718998,Synapse54,1756053718998,Synapse54
171,90732 (San Pedro),90732,82.5,82.5,12383750.0,32670.676087233125,1756053718998,Synapse54,1756053718998,Synapse54
172,90740 (Seal Beach),90740,65.0,65.0,42653750.0,55814.47434146027,1756053718998,Synapse54,1756053718998,Synapse54
173,90742 (Sunset Beach),90742,58.5,58.5,728750.0,5465.495476873691,1756053718998,Synapse54,1756053718998,Synapse54
174,90743 (Surfside),90743,57.7,57.7,218750.0,2701.3356277779667,1756053718998,Synapse54,1756053718998,Synapse54
175,90744 (Wilmington),90744,68.0,68.0,31171250.0,40903.96811881212,1756053718998,Synapse54,1756053718998,Synapse54
176,90745 (Carson),90745,87.5,87.5,35256250.0,31371.42910918017,1756053718998,Synapse54,1756053718998,Synapse54
177,90746 (Carson),90746,77.3,77.3,17991250.0,30527.06992508295,1756053718998,Synapse54,1756053718998,Synapse54
178,90747 (Carson),90747,86.0,86.0,2237500.0,6350.89257261219,1756053718998,Synapse54,1756053718998,Synapse54
179,90755 (Signal Hill),90755,89.3,89.3,8442500.0,20923.47092526615,1756053718998,Synapse54,1756053718998,Synapse54
180,90802 (Long Beach),90802,88.0,88.0,22857500.0,60447.90859170592,1756053718998,Synapse54,1756053718998,Synapse54
181,90803 (Long Beach),90803,70.0,70.0,17262500.0,48052.98046210528,1756053718998,Synapse54,1756053718998,Synapse54
182,90804 (Long Beach),90804,89.2,89.2,8283750.0,17404.825022744844,1756053718998,Synapse54,1756053718998,Synapse54
183,90805 (Long Beach),90805,86.8,86.8,28283750.0,28282.847625561633,1756053718998,Synapse54,1756053718998,Synapse54
184,90806 (Long Beach),90806,88.5,88.5,14482500.0,29336.82441539369,1756053718998,Synapse54,1756053718998,Synapse54
185,90807 (Long Beach),90807,88.2,88.2,18830000.0,30252.877556949352,1756053718998,Synapse54,1756053718998,Synapse54
186,90808 (Long Beach),90808,80.5,80.5,29252500.0,30714.377057701477,1756053718998,Synapse54,1756053718998,Synapse54
187,90810 (Long Beach),90810,88.6,88.6,23680000.0,23549.221417701145,1756053718998,Synapse54,1756053718998,Synapse54
188,90813 (Long Beach),90813,85.2,85.2,15312500.0,22742.295497020463,1756053718998,Synapse54,1756053718998,Synapse54
189,90814 (Long Beach),90814,81.9,81.9,4823750.0,13832.719778893748,1756053718998,Synapse54,1756053718998,Synapse54
190,90815 (Long Beach),90815,80.1,80.1,26080178.5703125,29824.793801974556,1756053718998,Synapse54,1756053718998,Synapse54
191,90822 (Long Beach),90822,0.0,0.0,2023750.0,6752.358352422547,1756053718998,Synapse54,1756053718998,Synapse54
192,90840 (Long Beach),90840,83.9,83.9,1820000.0,7002.623034877741,1756053718998,Synapse54,1756053718998,Synapse54
193,91001 (Altadena),91001,86.8,86.8,30072500.0,28398.778252080778,1756053718998,Synapse54,1756053718998,Synapse54
194,91006 (Arcadia),91006,67.7,67.7,25265000.0,46650.75143039238,1756053718998,Synapse54,1756053718998,Synapse54
195,91007 (Arcadia),91007,63.0,63.0,20713750.0,21959.462716422113,1756053718998,Synapse54,1756053718998,Synapse54
196,91008 (Duarte),91008,77.9,77.9,8665000.0,14371.0500767675,1756053718998,Synapse54,1756053718998,Synapse54
197,91010 (Duarte),91010,88.7,88.7,20787500.0,31744.17864013616,1756053718998,Synapse54,1756053718998,Synapse54
198,91011 (La Canada Flintridge),91011,67.9,67.9,236130000.0,119728.34233481884,1756053718998,Synapse54,1756053718998,Synapse54
199,91016 (Monrovia),91016,87.8,87.8,65495000.0,54264.51282000843,1756053718998,Synapse54,1756053718998,Synapse54
200,91020 (Montrose),91020,75.6,75.6,2812500.0,9846.720145603033,1756053718998,Synapse54,1756053718998,Synapse54
201,91024 (Sierra Madre),91024,70.9,70.9,11682500.0,17377.450162386187,1756053718998,Synapse54,1756053718998,Synapse54
202,91030 (South Pasadena),91030,81.0,81.0,13103750.0,16515.93148070902,1756053718998,Synapse54,1756053718998,Synapse54
203,91040 (Sunland),91040,76.7,76.7,54006250.0,62215.25556794039,1756053718998,Synapse54,1756053718998,Synapse54
204,91042 (Tujunga),91042,75.7,75.7,240885000.0,104973.13160724998,1756053718998,Synapse54,1756053718998,Synapse54
205,91101 (Pasadena),91101,84.5,84.5,4570000.0,10401.50972517863,1756053718998,Synapse54,1756053718998,Synapse54
206,91103 (Pasadena),91103,89.2,89.2,18846250.0,23446.6992835936,1756053718998,Synapse54,1756053718998,Synapse54
207,91104 (Pasadena),91104,86.3,86.3,14142500.0,17399.48031496562,1756053718998,Synapse54,1756053718998,Synapse54
208,91105 (Pasadena),91105,75.4,75.4,15438750.0,26685.91207743518,1756053718998,Synapse54,1756053718998,Synapse54
209,91106 (Pasadena),91106,85.2,85.2,11187500.0,22060.2945305279,1756053718998,Synapse54,1756053718998,Synapse54
210,91107 (Pasadena),91107,84.1,84.1,31986250.0,34262.73104182556,1756053718998,Synapse54,1756053718998,Synapse54
211,91108 (San Marino),91108,58.9,58.9,14412500.0,22125.96232575422,1756053718998,Synapse54,1756053718998,Synapse54
212,91123 (Pasadena),91123,76.0,76.0,226250.0,1916.4617511106312,1756053718998,Synapse54,1756053718998,Synapse54
213,91201 (Glendale),91201,65.5,65.5,9001250.0,16026.413240796723,1756053718998,Synapse54,1756053718998,Synapse54
214,91202 (Glendale),91202,63.3,63.3,8240000.0,12586.13052702877,1756053718998,Synapse54,1756053718998,Synapse54
215,91203 (Glendale),91203,74.1,74.1,3203750.0,7653.550392833003,1756053718998,Synapse54,1756053718998,Synapse54
216,91204 (Glendale),91204,83.4,83.4,3886250.0,12627.958758843704,1756053718998,Synapse54,1756053718998,Synapse54
217,91205 (Glendale),91205,77.7,77.7,7162500.0,12351.646530060581,1756053718998,Synapse54,1756053718998,Synapse54
218,91206 (Glendale),91206,70.1,70.1,21963750.0,30191.815035665397,1756053718998,Synapse54,1756053718998,Synapse54
219,91207 (Glendale),91207,59.0,59.0,17903750.0,26362.939478570523,1756053718998,Synapse54,1756053718998,Synapse54
220,91208 (Glendale),91208,63.1,63.1,29457500.0,33179.87380612861,1756053718998,Synapse54,1756053718998,Synapse54
221,91210 (Glendale),91210,79.8,79.8,162500.0,2106.6282042091552,1756053718998,Synapse54,1756053718998,Synapse54
222,91214 (La Crescenta),91214,72.0,72.0,20600000.0,21602.910059350183,1756053718998,Synapse54,1756053718998,Synapse54
223,91301 (Agoura Hills),91301,59.1,59.1,134412500.0,67038.39809373491,1756053718998,Synapse54,1756053718998,Synapse54
224,91302 (Calabasas),91302,54.5,54.5,98223750.0,71037.94471013643,1756053718998,Synapse54,1756053718998,Synapse54
225,91303 (Canoga Park),91303,86.3,86.3,8228750.0,11529.8145805243,1756053718998,Synapse54,1756053718998,Synapse54
