OBJECTID,DESCRIPTION,ID,MEDAGE_FY,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
40,90017 (Los Angeles),90017,36.0,36.0,2688750.0,7445.126134575988,1756054284498,Synapse54,1756054284498,Synapse54
41,90018 (Los Angeles),90018,40.5,40.5,11716250.0,16707.6231622001,1756054284498,Synapse54,1756054284498,Synapse54
42,90019 (Los Angeles),90019,41.6,41.6,15211250.0,21626.18050449957,1756054284498,Synapse54,1756054284498,Synapse54
43,90020 (Los Angeles),90020,39.7,39.7,4291250.0,13333.206617101114,1756054284498,Synapse54,1756054284498,Synapse54
44,90021 (Los Angeles),90021,43.6,43.6,7687500.0,12811.265929011817,1756054284498,Synapse54,1756054284498,Synapse54
45,90022 (Los Angeles),90022,35.8,35.8,16172500.0,20719.298192130605,1756054284498,Synapse54,1756054284498,Synapse54
46,90023 (Los Angeles),90023,34.0,34.0,15787500.0,25065.231635838325,1756054284498,Synapse54,1756054284498,Synapse54
47,90024 (Los Angeles),90024,24.2,24.2,11217500.0,23565.499157058814,1756054284498,Synapse54,1756054284498,Synapse54
48,90025 (Los Angeles),90025,38.1,38.1,10057500.0,17888.812826310525,1756054284498,Synapse54,1756054284498,Synapse54
49,90026 (Los Angeles),90026,38.2,38.2,15509849.6484375,24218.309029889515,1756054284498,Synapse54,1756054284498,Synapse54
50,90027 (Los Angeles),90027,40.3,40.3,31372198.26953125,32920.09427313121,1756054284498,Synapse54,1756054284498,Synapse54
51,90028 (Los Angeles),90028,36.7,36.7,5706250.0,11998.45758305025,1756054284498,Synapse54,1756054284498,Synapse54
52,90029 (Los Angeles),90029,39.7,39.7,5052500.0,10335.927415450915,1756054284498,Synapse54,1756054284498,Synapse54
53,90031 (Los Angeles),90031,39.9,39.9,15245000.0,29245.747798201824,1756054284498,Synapse54,1756054284498,Synapse54
54,90032 (Los Angeles),90032,39.6,39.6,17751250.0,23477.11070817594,1756054284498,Synapse54,1756054284498,Synapse54
55,90033 (Los Angeles),90033,34.8,34.8,11357500.0,17818.53622715837,1756054284498,Synapse54,1756054284498,Synapse54
56,90034 (Los Angeles),90034,36.0,36.0,12052500.0,20673.70153545651,1756054284498,Synapse54,1756054284498,Synapse54
57,90035 (Los Angeles),90035,39.0,39.0,7927500.0,15526.556690408112,1756054284498,Synapse54,1756054284498,Synapse54
58,90036 (Los Angeles),90036,36.4,36.4,9107500.0,12994.479962948375,1756054284498,Synapse54,1756054284498,Synapse54
59,90037 (Los Angeles),90037,34.8,34.8,10508750.0,14621.518912293803,1756054284498,Synapse54,1756054284498,Synapse54
60,90038 (Los Angeles),90038,37.2,37.2,5625000.0,11051.78344238091,1756054284498,Synapse54,1756054284498,Synapse54
61,90039 (Los Angeles),90039,43.4,43.4,14937500.0,26540.88635537041,1756054284498,Synapse54,1756054284498,Synapse54
62,90040 (Los Angeles),90040,37.6,37.6,21627500.0,29039.576808869337,1756054284498,Synapse54,1756054284498,Synapse54
63,90041 (Los Angeles),90041,43.7,43.7,13453750.0,23297.234669617384,1756054284498,Synapse54,1756054284498,Synapse54
64,90042 (Los Angeles),90042,40.3,40.3,16600000.0,26111.097274672105,1756054284498,Synapse54,1756054284498,Synapse54
65,90043 (Los Angeles),90043,42.7,42.7,15488750.0,20767.813783140336,1756054284498,Synapse54,1756054284498,Synapse54
66,90044 (Los Angeles),90044,34.1,34.1,19268750.0,24219.287926733556,1756054284498,Synapse54,1756054284498,Synapse54
67,90045 (Los Angeles),90045,38.0,38.0,41837500.0,33857.810168288044,1756054284498,Synapse54,1756054284498,Synapse54
68,90046 (Los Angeles),90046,40.6,40.6,21017500.0,26444.659313160097,1756054284498,Synapse54,1756054284498,Synapse54
69,90047 (Los Angeles),90047,40.6,40.6,18415000.0,24897.163606844646,1756054284498,Synapse54,1756054284498,Synapse54
70,90048 (Los Angeles),90048,41.6,41.6,7258750.0,13304.136755133153,1756054284498,Synapse54,1756054284498,Synapse54
71,90049 (Los Angeles),90049,42.6,42.6,56788750.0,41226.96742147488,1756054284498,Synapse54,1756054284498,Synapse54
72,90056 (Los Angeles),90056,49.8,49.8,9336250.0,20906.423185842752,1756054284498,Synapse54,1756054284498,Synapse54
73,90057 (Los Angeles),90057,38.0,38.0,3300000.0,8096.333135251578,1756054284498,Synapse54,1756054284498,Synapse54
74,90058 (Los Angeles),90058,33.2,33.2,22471250.0,30940.32773295171,1756054284498,Synapse54,1756054284498,Synapse54
75,90059 (Los Angeles),90059,32.6,32.6,12669445.7890625,21754.220694967255,1756054284498,Synapse54,1756054284498,Synapse54
76,90061 (Los Angeles),90061,34.0,34.0,9727500.0,16202.685102545658,1756054284498,Synapse54,1756054284498,Synapse54
77,90062 (Los Angeles),90062,37.9,37.9,7010000.0,13464.50413023988,1756054284498,Synapse54,1756054284498,Synapse54
78,90063 (Los Angeles),90063,35.8,35.8,13716250.0,20839.20336600833,1756054284498,Synapse54,1756054284498,Synapse54
79,90064 (Los Angeles),90064,41.9,41.9,14533750.0,20316.005939246275,1756054284498,Synapse54,1756054284498,Synapse54
80,90065 (Los Angeles),90065,42.6,42.6,20842500.0,28520.189526760132,1756054284498,Synapse54,1756054284498,Synapse54
81,90066 (Los Angeles),90066,40.1,40.1,18028750.0,22372.197235424435,1756054284498,Synapse54,1756054284498,Synapse54
82,90067 (Los Angeles),90067,69.7,69.7,1286250.0,6389.032390789044,1756054284498,Synapse54,1756054284498,Synapse54
83,90068 (Los Angeles),90068,42.4,42.4,30299051.73046875,36845.66321667839,1756054284498,Synapse54,1756054284498,Synapse54
84,90069 (West Hollywood),90069,44.8,44.8,8231250.0,13516.653258932867,1756054284498,Synapse54,1756054284498,Synapse54
85,90071 (Los Angeles),90071,46.1,46.1,498750.0,2796.3291102264193,1756054284498,Synapse54,1756054284498,Synapse54
86,90073 (Los Angeles),90073,62.5,62.5,361250.0,2444.855032486122,1756054284498,Synapse54,1756054284498,Synapse54
87,90077 (Los Angeles),90077,50.0,50.0,28206250.0,29891.429584163092,1756054284498,Synapse54,1756054284498,Synapse54
88,90089 (Los Angeles),90089,25.4,25.4,641250.0,5578.818673295189,1756054284498,Synapse54,1756054284498,Synapse54
89,90094 (Playa Vista),90094,37.7,37.7,2206250.0,9075.570978848275,1756054284498,Synapse54,1756054284498,Synapse54
90,90095 (Los Angeles),90095,22.5,22.5,1341250.0,5545.281266875468,1756054284498,Synapse54,1756054284498,Synapse54
91,90201 (Bell Gardens),90201,34.1,34.1,22776250.0,31174.90594556538,1756054284498,Synapse54,1756054284498,Synapse54
92,90210 (Beverly Hills),90210,50.4,50.4,40693750.0,35495.540610269694,1756054284498,Synapse54,1756054284498,Synapse54
93,90211 (Beverly Hills),90211,43.9,43.9,2545000.0,8434.386417247204,1756054284498,Synapse54,1756054284498,Synapse54
94,90212 (Beverly Hills),90212,44.7,44.7,3456250.0,9132.921549218636,1756054284498,Synapse54,1756054284498,Synapse54
95,90220 (Compton),90220,35.1,35.1,26670000.0,26278.341178066632,1756054284498,Synapse54,1756054284498,Synapse54
96,90221 (Compton),90221,33.8,33.8,20546250.0,30704.222675775596,1756054284498,Synapse54,1756054284498,Synapse54
97,90222 (Compton),90222,34.0,34.0,9812500.0,15082.427126403216,1756054284498,Synapse54,1756054284498,Synapse54
98,90230 (Culver City),90230,42.9,42.9,13540000.0,23852.03509703816,1756054284498,Synapse54,1756054284498,Synapse54
99,90232 (Culver City),90232,41.5,41.5,8846250.0,20569.320546472754,1756054284498,Synapse54,1756054284498,Synapse54
100,90240 (Downey),90240,40.5,40.5,11008750.0,16046.5324903168,1756054284498,Synapse54,1756054284498,Synapse54
101,90241 (Downey),90241,38.9,38.9,18818750.0,26209.754460046563,1756054284498,Synapse54,1756054284498,Synapse54
102,90242 (Downey),90242,38.4,38.4,17316250.0,24176.05001918894,1756054284498,Synapse54,1756054284498,Synapse54
103,90245 (El Segundo),90245,41.4,41.4,20489078.9453125,21290.512807961102,1756054284498,Synapse54,1756054284498,Synapse54
104,90247 (Gardena),90247,41.0,41.0,13956250.0,18524.930291328696,1756054284498,Synapse54,1756054284498,Synapse54
105,90248 (Gardena),90248,43.4,43.4,16600000.0,29520.36402804825,1756054284498,Synapse54,1756054284498,Synapse54
106,90249 (Gardena),90249,42.2,42.2,11110000.0,15491.694499783222,1756054284498,Synapse54,1756054284498,Synapse54
107,90250 (Hawthorne),90250,38.1,38.1,25368750.0,28851.36344786999,1756054284498,Synapse54,1756054284498,Synapse54
108,90254 (Hermosa Beach),90254,43.2,43.2,5741250.0,10335.552881463193,1756054284498,Synapse54,1756054284498,Synapse54
109,90255 (Huntington Park),90255,35.7,35.7,14255000.0,26085.551407584615,1756054284498,Synapse54,1756054284498,Synapse54
110,90260 (Lawndale),90260,39.0,39.0,9605000.0,17402.683123305447,1756054284498,Synapse54,1756054284498,Synapse54
111,90262 (Lynwood),90262,35.0,35.0,18086556.6640625,26857.017283522808,1756054284498,Synapse54,1756054284498,Synapse54
112,90263 (Malibu),90263,21.3,21.3,890000.0,4836.364924674755,1756054284498,Synapse54,1756054284498,Synapse54
113,90265 (Malibu),90265,49.3,49.3,358065000.0,160105.19551106927,1756054284498,Synapse54,1756054284498,Synapse54
114,90266 (Manhattan Beach),90266,45.1,45.1,15016250.0,18024.215173107365,1756054284498,Synapse54,1756054284498,Synapse54
115,90270 (Maywood),90270,34.3,34.3,4438750.0,12108.120723799591,1756054284498,Synapse54,1756054284498,Synapse54
116,90272 (Pacific Palisades),90272,51.0,51.0,93533750.0,48353.98962394359,1756054284498,Synapse54,1756054284498,Synapse54
117,90274 (Palos Verdes Peninsula),90274,51.9,51.9,45242500.0,67826.04698995463,1756054284498,Synapse54,1756054284498,Synapse54
118,90275 (Rancho Palos Verdes),90275,50.1,50.1,50560467.390625,74858.19724477628,1756054284498,Synapse54,1756054284498,Synapse54
119,90277 (Redondo Beach),90277,46.4,46.4,13728660.71484375,28384.916700767837,1756054284498,Synapse54,1756054284498,Synapse54
120,90278 (Redondo Beach),90278,41.8,41.8,13486250.0,19494.564275167202,1756054284498,Synapse54,1756054284498,Synapse54
121,90280 (South Gate),90280,36.4,36.4,28788750.0,39688.62557489182,1756054284498,Synapse54,1756054284498,Synapse54
122,90290 (Topanga),90290,49.4,49.4,70541250.0,53160.49650329473,1756054284498,Synapse54,1756054284498,Synapse54
123,90291 (Venice),90291,40.5,40.5,9812500.0,12876.741552663525,1756054284498,Synapse54,1756054284498,Synapse54
124,90292 (Marina del Rey),90292,42.3,42.3,8218750.0,32395.526802590502,1756054284498,Synapse54,1756054284498,Synapse54
125,90293 (Playa del Rey),90293,44.2,44.2,9491250.0,25369.42274213685,1756054284498,Synapse54,1756054284498,Synapse54
126,90301 (Inglewood),90301,39.3,39.3,9536250.0,14740.37614674179,1756054284498,Synapse54,1756054284498,Synapse54
127,90302 (Inglewood),90302,38.8,38.8,7050000.0,14576.382803700373,1756054284498,Synapse54,1756054284498,Synapse54
128,90303 (Inglewood),90303,37.6,37.6,6832500.0,11584.415690288111,1756054284498,Synapse54,1756054284498,Synapse54
129,90304 (Inglewood),90304,34.9,34.9,6392500.0,14711.933440991874,1756054284498,Synapse54,1756054284498,Synapse54
130,90305 (Inglewood),90305,47.1,47.1,10065000.0,14350.357124637427,1756054284498,Synapse54,1756054284498,Synapse54
131,90401 (Santa Monica),90401,39.6,39.6,3258750.0,8627.600002486844,1756054284498,Synapse54,1756054284498,Synapse54
132,90402 (Santa Monica),90402,49.6,49.6,7656250.0,16278.906067432124,1756054284498,Synapse54,1756054284498,Synapse54
133,90403 (Santa Monica),90403,44.8,44.8,5201250.0,12765.037071367307,1756054284498,Synapse54,1756054284498,Synapse54
134,90404 (Santa Monica),90404,41.8,41.8,7661250.0,12293.519777068597,1756054284498,Synapse54,1756054284498,Synapse54
135,90405 (Santa Monica),90405,44.7,44.7,9833750.0,14364.27920898923,1756054284498,Synapse54,1756054284498,Synapse54
136,90501 (Torrance),90501,40.2,40.2,21363750.0,22477.44421810747,1756054284498,Synapse54,1756054284498,Synapse54
137,90502 (Torrance),90502,46.1,46.1,8408750.0,15904.164101997872,1756054284498,Synapse54,1756054284498,Synapse54
138,90503 (Torrance),90503,44.0,44.0,22778750.0,19550.185198607072,1756054284498,Synapse54,1756054284498,Synapse54
139,90504 (Torrance),90504,43.2,43.2,14150000.0,16144.870254103427,1756054284498,Synapse54,1756054284498,Synapse54
140,90505 (Torrance),90505,45.7,45.7,21650000.0,21596.455573846477,1756054284498,Synapse54,1756054284498,Synapse54
141,90506 (Torrance),90506,0.0,0.0,958750.0,4384.906543896758,1756054284498,Synapse54,1756054284498,Synapse54
142,90601 (Whittier),90601,41.9,41.9,38844044.1171875,55144.6720873256,1756054284498,Synapse54,1756054284498,Synapse54
143,90602 (Whittier),90602,38.9,38.9,10911250.0,26607.57074945912,1756054284498,Synapse54,1756054284498,Synapse54
144,90603 (Whittier),90603,42.5,42.5,12587500.0,25128.37504031684,1756054284498,Synapse54,1756054284498,Synapse54
145,90604 (Whittier),90604,39.0,39.0,16517500.0,24397.16301851491,1756054284498,Synapse54,1756054284498,Synapse54
146,90605 (Whittier),90605,38.7,38.7,20322500.0,38244.19602659896,1756054284498,Synapse54,1756054284498,Synapse54
147,90606 (Whittier),90606,39.7,39.7,13908750.0,23051.640851957916,1756054284498,Synapse54,1756054284498,Synapse54
148,90620 (Buena Park),90620,41.3,41.3,24891250.0,36184.85321761223,1756054284498,Synapse54,1756054284498,Synapse54
149,90621 (Buena Park),90621,38.7,38.7,14926250.0,21087.679435974318,1756054284498,Synapse54,1756054284498,Synapse54
150,90623 (La Palma),90623,45.1,45.1,6976250.0,16169.900377776361,1756054284498,Synapse54,1756054284498,Synapse54
151,90630 (Cypress),90630,42.7,42.7,23375000.0,30591.584822141205,1756054284498,Synapse54,1756054284498,Synapse54
152,90631 (La Habra),90631,40.1,40.1,51115000.0,41125.47464364195,1756054284498,Synapse54,1756054284498,Synapse54
153,90638 (La Mirada),90638,44.2,44.2,28975000.0,36363.589685550694,1756054284498,Synapse54,1756054284498,Synapse54
154,90639 (La Mirada),90639,21.1,21.1,628750.0,4050.9365282633644,1756054284498,Synapse54,1756054284498,Synapse54
155,90640 (Montebello),90640,40.0,40.0,31072500.0,33723.07592538333,1756054284498,Synapse54,1756054284498,Synapse54
156,90650 (Norwalk),90650,39.3,39.3,36745000.0,34075.03927766407,1756054284498,Synapse54,1756054284498,Synapse54
157,90660 (Pico Rivera),90660,39.8,39.8,32288750.0,29498.64150538908,1756054284498,Synapse54,1756054284498,Synapse54
158,90670 (Santa Fe Springs),90670,41.3,41.3,32167500.0,52293.866012792765,1756054284498,Synapse54,1756054284498,Synapse54
159,90680 (Stanton),90680,39.2,39.2,10142500.0,25187.490876299296,1756054284498,Synapse54,1756054284498,Synapse54
160,90701 (Artesia),90701,42.7,42.7,6072500.0,15226.251904130706,1756054284498,Synapse54,1756054284498,Synapse54
161,90703 (Cerritos),90703,47.2,47.2,33382500.0,43957.88438492369,1756054284498,Synapse54,1756054284498,Synapse54
162,90704 (Avalon),90704,39.1,39.1,487926250.0,217962.03793947026,1756054284498,Synapse54,1756054284498,Synapse54
163,90706 (Bellflower),90706,37.8,37.8,23067500.0,21705.237676308017,1756054284498,Synapse54,1756054284498,Synapse54
164,90710 (Harbor City),90710,41.8,41.8,8730000.0,14589.089922329094,1756054284498,Synapse54,1756054284498,Synapse54
165,90712 (Lakewood),90712,42.1,42.1,16535000.0,22577.300170428734,1756054284498,Synapse54,1756054284498,Synapse54
166,90713 (Lakewood),90713,43.0,43.0,12796250.0,16128.32750732679,1756054284498,Synapse54,1756054284498,Synapse54
167,90715 (Lakewood),90715,39.1,39.1,6483750.0,15164.516714525105,1756054284498,Synapse54,1756054284498,Synapse54
168,90716 (Hawaiian Gardens),90716,35.6,35.6,3653750.0,9011.135593632347,1756054284498,Synapse54,1756054284498,Synapse54
169,90717 (Lomita),90717,42.3,42.3,7921250.0,16645.18298324878,1756054284498,Synapse54,1756054284498,Synapse54
170,90720 (Los Alamitos),90720,44.1,44.1,23170000.0,25290.212669775807,1756054284498,Synapse54,1756054284498,Synapse54
171,90723 (Paramount),90723,35.5,35.5,17825000.0,25500.519197521357,1756054284498,Synapse54,1756054284498,Synapse54
172,90731 (San Pedro),90731,40.0,40.0,34893750.0,86960.88531120957,1756054284498,Synapse54,1756054284498,Synapse54
173,90732 (San Pedro),90732,46.3,46.3,12383750.0,32670.676087233125,1756054284498,Synapse54,1756054284498,Synapse54
174,90740 (Seal Beach),90740,63.4,63.4,42653750.0,55814.47434146027,1756054284498,Synapse54,1756054284498,Synapse54
175,90742 (Sunset Beach),90742,57.3,57.3,728750.0,5465.495476873691,1756054284498,Synapse54,1756054284498,Synapse54
176,90743 (Surfside),90743,55.0,55.0,218750.0,2701.3356277779667,1756054284498,Synapse54,1756054284498,Synapse54
177,90744 (Wilmington),90744,34.6,34.6,31171250.0,40903.96811881212,1756054284498,Synapse54,1756054284498,Synapse54
178,90745 (Carson),90745,43.2,43.2,35256250.0,31371.42910918017,1756054284498,Synapse54,1756054284498,Synapse54
179,90746 (Carson),90746,46.1,46.1,17991250.0,30527.06992508295,1756054284498,Synapse54,1756054284498,Synapse54
180,90747 (Carson),90747,23.1,23.1,2237500.0,6350.89257261219,1756054284498,Synapse54,1756054284498,Synapse54
181,90755 (Signal Hill),90755,40.9,40.9,8442500.0,20923.47092526615,1756054284498,Synapse54,1756054284498,Synapse54
182,90802 (Long Beach),90802,38.3,38.3,22857500.0,60447.90859170592,1756054284498,Synapse54,1756054284498,Synapse54
183,90803 (Long Beach),90803,46.9,46.9,17262500.0,48052.98046210528,1756054284498,Synapse54,1756054284498,Synapse54
184,90804 (Long Beach),90804,36.5,36.5,8283750.0,17404.825022744844,1756054284498,Synapse54,1756054284498,Synapse54
185,90805 (Long Beach),90805,36.2,36.2,28283750.0,28282.847625561633,1756054284498,Synapse54,1756054284498,Synapse54
186,90806 (Long Beach),90806,37.5,37.5,14482500.0,29336.82441539369,1756054284498,Synapse54,1756054284498,Synapse54
187,90807 (Long Beach),90807,43.9,43.9,18830000.0,30252.877556949352,1756054284498,Synapse54,1756054284498,Synapse54
188,90808 (Long Beach),90808,44.9,44.9,29252500.0,30714.377057701477,1756054284498,Synapse54,1756054284498,Synapse54
189,90810 (Long Beach),90810,38.9,38.9,23680000.0,23549.221417701145,1756054284498,Synapse54,1756054284498,Synapse54
190,90813 (Long Beach),90813,34.6,34.6,15312500.0,22742.295497020463,1756054284498,Synapse54,1756054284498,Synapse54
191,90814 (Long Beach),90814,40.6,40.6,4823750.0,13832.719778893748,1756054284498,Synapse54,1756054284498,Synapse54
192,90815 (Long Beach),90815,41.4,41.4,26080178.5703125,29824.793801974556,1756054284498,Synapse54,1756054284498,Synapse54
193,90822 (Long Beach),90822,0.0,0.0,2023750.0,6752.358352422547,1756054284498,Synapse54,1756054284498,Synapse54
194,90840 (Long Beach),90840,18.5,18.5,1820000.0,7002.623034877741,1756054284498,Synapse54,1756054284498,Synapse54
195,91001 (Altadena),91001,46.1,46.1,30072500.0,28398.778252080778,1756054284498,Synapse54,1756054284498,Synapse54
196,91006 (Arcadia),91006,45.5,45.5,25265000.0,46650.75143039238,1756054284498,Synapse54,1756054284498,Synapse54
197,91007 (Arcadia),91007,45.4,45.4,20713750.0,21959.462716422113,1756054284498,Synapse54,1756054284498,Synapse54
198,91008 (Duarte),91008,62.4,62.4,8665000.0,14371.0500767675,1756054284498,Synapse54,1756054284498,Synapse54
199,91010 (Duarte),91010,44.1,44.1,20787500.0,31744.17864013616,1756054284498,Synapse54,1756054284498,Synapse54
200,91011 (La Canada Flintridge),91011,47.3,47.3,236130000.0,119728.34233481884,1756054284498,Synapse54,1756054284498,Synapse54
201,91016 (Monrovia),91016,43.0,43.0,65495000.0,54264.51282000843,1756054284498,Synapse54,1756054284498,Synapse54
202,91020 (Montrose),91020,44.4,44.4,2812500.0,9846.720145603033,1756054284498,Synapse54,1756054284498,Synapse54
203,91024 (Sierra Madre),91024,49.4,49.4,11682500.0,17377.450162386187,1756054284498,Synapse54,1756054284498,Synapse54
204,91030 (South Pasadena),91030,43.7,43.7,13103750.0,16515.93148070902,1756054284498,Synapse54,1756054284498,Synapse54
205,91040 (Sunland),91040,46.2,46.2,54006250.0,62215.25556794039,1756054284498,Synapse54,1756054284498,Synapse54
206,91042 (Tujunga),91042,45.6,45.6,240885000.0,104973.13160724998,1756054284498,Synapse54,1756054284498,Synapse54
207,91101 (Pasadena),91101,39.4,39.4,4570000.0,10401.50972517863,1756054284498,Synapse54,1756054284498,Synapse54
208,91103 (Pasadena),91103,40.8,40.8,18846250.0,23446.6992835936,1756054284498,Synapse54,1756054284498,Synapse54
209,91104 (Pasadena),91104,44.0,44.0,14142500.0,17399.48031496562,1756054284498,Synapse54,1756054284498,Synapse54
210,91105 (Pasadena),91105,46.6,46.6,15438750.0,26685.91207743518,1756054284498,Synapse54,1756054284498,Synapse54
211,91106 (Pasadena),91106,39.9,39.9,11187500.0,22060.2945305279,1756054284498,Synapse54,1756054284498,Synapse54
212,91107 (Pasadena),91107,44.9,44.9,31986250.0,34262.73104182556,1756054284498,Synapse54,1756054284498,Synapse54
213,91108 (San Marino),91108,50.0,50.0,14412500.0,22125.96232575422,1756054284498,Synapse54,1756054284498,Synapse54
214,91123 (Pasadena),91123,41.5,41.5,226250.0,1916.4617511106312,1756054284498,Synapse54,1756054284498,Synapse54
215,91201 (Glendale),91201,45.6,45.6,9001250.0,16026.413240796723,1756054284498,Synapse54,1756054284498,Synapse54
216,91202 (Glendale),91202,44.6,44.6,8240000.0,12586.13052702877,1756054284498,Synapse54,1756054284498,Synapse54
217,91203 (Glendale),91203,41.3,41.3,3203750.0,7653.550392833003,1756054284498,Synapse54,1756054284498,Synapse54
218,91204 (Glendale),91204,41.9,41.9,3886250.0,12627.958758843704,1756054284498,Synapse54,1756054284498,Synapse54
219,91205 (Glendale),91205,44.0,44.0,7162500.0,12351.646530060581,1756054284498,Synapse54,1756054284498,Synapse54
220,91206 (Glendale),91206,45.3,45.3,21963750.0,30191.815035665397,1756054284498,Synapse54,1756054284498,Synapse54
221,91207 (Glendale),91207,47.7,47.7,17903750.0,26362.939478570523,1756054284498,Synapse54,1756054284498,Synapse54
222,91208 (Glendale),91208,46.9,46.9,29457500.0,33179.87380612861,1756054284498,Synapse54,1756054284498,Synapse54
223,91210 (Glendale),91210,44.3,44.3,162500.0,2106.6282042091552,1756054284498,Synapse54,1756054284498,Synapse54
224,91214 (La Crescenta),91214,45.5,45.5,20600000.0,21602.910059350183,1756054284498,Synapse54,1756054284498,Synapse54
225,91301 (Agoura Hills),91301,46.3,46.3,134412500.0,67038.39809373491,1756054284498,Synapse54,1756054284498,Synapse54
