OBJECTID,DESCRIPTION,ID,ECYCDORECO,ECYCDORECO_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
17,"G0X (Notre-Dame-Du-Mont-Carmel, QC)",G0X,442,1.59,1.59,39978887685.5,2171889.905015521,1753800734237,Synapse54,1753800734237,Synapse54
18,"G0Y (Lac-Drolet, QC)",G0Y,56,1.17,1.17,3810924397.5,557635.8571484805,1753800734237,Synapse54,1753800734237,Synapse54
19,"G0Z (Daveluyville, QC)",G0Z,47,1.16,1.16,1313913827.0,254093.22841298912,1753800734237,Synapse54,1753800734237,Synapse54
20,"G1A (Quebec, QC)",G1A,0,0.0,0.0,82312.0,1266.954133788689,1753800734237,Synapse54,1753800734237,Synapse54
21,"G1B (Quebec, QC)",G1B,65,0.91,0.91,87273797.0,41431.67400838665,1753800734237,Synapse54,1753800734237,Synapse54
22,"G1C (Quebec, QC)",G1C,953,5.71,5.71,42832173.5,38990.399766328665,1753800734237,Synapse54,1753800734237,Synapse54
23,"G1E (Quebec, QC)",G1E,1304,8.95,8.95,21963715.5,24460.60804483201,1753800734237,Synapse54,1753800734237,Synapse54
24,"G1G (Quebec, QC)",G1G,515,4.39,4.39,23261499.5,21244.010790424363,1753800734237,Synapse54,1753800734237,Synapse54
25,"G1H (Quebec, QC)",G1H,1218,7.91,7.91,17070653.5,16728.070206687444,1753800734237,Synapse54,1753800734237,Synapse54
26,"G1J (Quebec, QC)",G1J,1138,8.34,8.34,15486417.5,18318.282612942763,1753800734237,Synapse54,1753800734237,Synapse54
27,"G1K (Quebec, QC)",G1K,1425,12.16,12.16,9532326.5,27604.32226056824,1753800734237,Synapse54,1753800734237,Synapse54
28,"G1L (Quebec, QC)",G1L,1052,7.85,7.85,8545974.0,13500.51656374446,1753800734237,Synapse54,1753800734237,Synapse54
29,"G1M (Quebec, QC)",G1M,1299,12.0,12.0,17720734.5,19033.029965482125,1753800734237,Synapse54,1753800734237,Synapse54
30,"G1N (Quebec, QC)",G1N,435,7.55,7.55,13120575.0,20830.816804197915,1753800734237,Synapse54,1753800734237,Synapse54
31,"G1P (Quebec, QC)",G1P,425,5.24,5.24,23560383.5,22665.24353657779,1753800734237,Synapse54,1753800734237,Synapse54
32,"G1R (Quebec, QC)",G1R,1501,14.27,14.27,6291861.0,12661.880571938687,1753800734237,Synapse54,1753800734237,Synapse54
33,"G1S (Quebec, QC)",G1S,1757,12.17,12.17,11216915.28125,15661.567182113036,1753800734237,Synapse54,1753800734237,Synapse54
34,"G1T (Quebec, QC)",G1T,107,3.68,3.68,7077771.5,17602.81541790566,1753800734237,Synapse54,1753800734237,Synapse54
35,"G1V (Quebec, QC)",G1V,2264,17.27,17.27,15730102.0,17979.112647239195,1753800734237,Synapse54,1753800734237,Synapse54
36,"G1W (Quebec, QC)",G1W,811,7.28,7.28,17198639.5,21801.94208985731,1753800734237,Synapse54,1753800734237,Synapse54
37,"G1X (Quebec, QC)",G1X,1281,9.41,9.41,27103326.0,27337.079999136095,1753800734237,Synapse54,1753800734237,Synapse54
38,"G1Y (Quebec, QC)",G1Y,149,2.58,2.58,14262450.5,17939.63034370007,1753800734237,Synapse54,1753800734237,Synapse54
39,"G2A (Quebec, QC)",G2A,352,4.18,4.18,47271562.5,46123.605864486206,1753800734237,Synapse54,1753800734237,Synapse54
40,"G2B (Quebec, QC)",G2B,413,3.62,3.62,24328924.5,22475.77399457994,1753800734237,Synapse54,1753800734237,Synapse54
41,"G2C (Quebec, QC)",G2C,945,15.17,15.17,18432837.5,23131.360190110616,1753800734237,Synapse54,1753800734237,Synapse54
42,"G2E (Quebec, QC)",G2E,254,2.64,2.64,27707972.5,23903.30796073271,1753800734237,Synapse54,1753800734237,Synapse54
43,"G2G (Quebec, QC)",G2G,160,3.31,3.31,101799470.5,45275.85044604026,1753800734237,Synapse54,1753800734237,Synapse54
44,"G2J (Quebec, QC)",G2J,361,20.38,20.38,5412144.5,9862.14108739791,1753800734237,Synapse54,1753800734237,Synapse54
45,"G2K (Quebec, QC)",G2K,1181,16.23,16.23,30349819.5,31745.12588440936,1753800734237,Synapse54,1753800734237,Synapse54
46,"G2L (Quebec, QC)",G2L,555,8.14,8.14,25127554.5,22805.966601331882,1753800734237,Synapse54,1753800734237,Synapse54
47,"G2M (Quebec, QC)",G2M,89,3.6,3.6,44779584.0,34604.08492657024,1753800734237,Synapse54,1753800734237,Synapse54
48,"G2N (Quebec, QC)",G2N,77,2.13,2.13,31035228.5,31796.238354131285,1753800734237,Synapse54,1753800734237,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,462,5.05,5.05,188876871.0,74472.4753726992,1753800734237,Synapse54,1753800734237,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,29,0.85,0.85,139197319.5,64423.23371099803,1753800734237,Synapse54,1753800734237,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,69,1.52,1.52,1330849498.5,175874.56931808186,1753800734237,Synapse54,1753800734237,Synapse54
52,"G3E (Quebec, QC)",G3E,99,1.56,1.56,18489209.0,20620.301807363456,1753800734237,Synapse54,1753800734237,Synapse54
53,"G3G (Quebec, QC)",G3G,33,0.77,0.77,83002473.0,53192.861834286385,1753800734237,Synapse54,1753800734237,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,198,4.31,4.31,279179695.0,100842.62742278028,1753800734237,Synapse54,1753800734237,Synapse54
55,"G3J (Quebec, QC)",G3J,256,5.47,5.47,85589532.0,54640.87343863765,1753800734237,Synapse54,1753800734237,Synapse54
56,"G3K (Quebec, QC)",G3K,400,4.67,4.67,66926850.0,43417.9629367511,1753800734237,Synapse54,1753800734237,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,152,2.86,2.86,2499240685.5,293711.66523440205,1753800734237,Synapse54,1753800734237,Synapse54
58,"G3M (Donnacona, QC)",G3M,201,5.62,5.62,76895468.5,38932.06578942634,1753800734237,Synapse54,1753800734237,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,64,1.38,1.38,179093818.5,91193.27748891739,1753800734237,Synapse54,1753800734237,Synapse54
60,"G3S (Quebec, QC)",G3S,119,4.48,4.48,162242772.5,88360.35793053103,1753800734237,Synapse54,1753800734237,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,166,4.48,4.48,1221045873.0,165284.53951195258,1753800734237,Synapse54,1753800734237,Synapse54
62,"G4A (Clermont, QC)",G4A,57,3.69,3.69,1226794529.0,167560.43929327332,1753800734237,Synapse54,1753800734237,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,260,2.82,2.82,1888740693.0195312,364416.3918226564,1753800734237,Synapse54,1753800734237,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,0,0.0,0.0,13736729.5,31952.335224803264,1753800734237,Synapse54,1753800734237,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,211,3.36,3.36,500054815.0,511013.5871236407,1753800734237,Synapse54,1753800734237,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,141,4.35,4.35,780273522.0,168670.12216022852,1753800734237,Synapse54,1753800734237,Synapse54
67,"G4W (Matane, QC)",G4W,531,7.14,7.14,466220652.0,100520.51806568402,1753800734237,Synapse54,1753800734237,Synapse54
68,"G4X (Gaspe, QC)",G4X,261,3.63,3.63,2615126201.546875,406673.89112098655,1753800734237,Synapse54,1753800734237,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,145,3.3,3.3,1669244051.0,336717.80497552885,1753800734237,Synapse54,1753800734237,Synapse54
70,"G5A (La Malbaie, QC)",G5A,223,5.56,5.56,905867526.5,176911.55690727945,1753800734237,Synapse54,1753800734237,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,107,3.84,3.84,742256392.5,203831.72178845698,1753800734237,Synapse54,1753800734237,Synapse54
72,"G5C (Baie-Comeau, QC)",G5C,291,5.53,5.53,78061848.0,48691.63220890317,1753800734237,Synapse54,1753800734237,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,205,6.12,6.12,128376656.5,53923.191144203476,1753800734237,Synapse54,1753800734237,Synapse54
74,"G5J (Amqui, QC)",G5J,158,5.26,5.26,310530648.5,97437.56642828621,1753800734237,Synapse54,1753800734237,Synapse54
75,"G5L (Rimouski, QC)",G5L,1184,7.84,7.84,115966883.0,88926.49071239203,1753800734237,Synapse54,1753800734237,Synapse54
76,"G5M (Rimouski, QC)",G5M,236,5.79,5.79,66332097.0,52169.63739391678,1753800734237,Synapse54,1753800734237,Synapse54
77,"G5N (Rimouski, QC)",G5N,68,1.83,1.83,414167429.0,104413.83144964176,1753800734237,Synapse54,1753800734237,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,671,6.75,6.75,182737573.0,77061.18159356514,1753800734237,Synapse54,1753800734237,Synapse54
79,"G5T (Degelis, QC)",G5T,87,6.11,6.11,1107888892.0,146757.59518407704,1753800734237,Synapse54,1753800734237,Synapse54
80,"G5V (Montmagny, QC)",G5V,442,7.68,7.68,282245095.0,82682.88684580137,1753800734237,Synapse54,1753800734237,Synapse54
81,"G5X (Beauceville, QC)",G5X,175,6.19,6.19,336857190.0,91090.00846556539,1753800734237,Synapse54,1753800734237,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,1056,8.8,8.8,169548327.0,148240.89990521545,1753800734237,Synapse54,1753800734237,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,144,4.29,4.29,219710089.0,133870.3845435117,1753800734237,Synapse54,1753800734237,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,57,6.56,6.56,12731588.0,28099.846637013223,1753800734237,Synapse54,1753800734237,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,277,6.55,6.55,525968305.0,147830.6226949515,1753800734237,Synapse54,1753800734237,Synapse54
86,"G6C (Pintendre, QC)",G6C,259,7.09,7.09,171728656.5,62758.50767570228,1753800734237,Synapse54,1753800734237,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,464,7.94,7.94,242749292.5,88129.38426536831,1753800734237,Synapse54,1753800734237,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,651,6.48,6.48,432553661.5,137866.85051543516,1753800734237,Synapse54,1753800734237,Synapse54
89,"G6H (Thetford Mines, QC)",G6H,84,2.64,2.64,381525955.5,208711.52055490302,1753800734237,Synapse54,1753800734237,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,103,2.25,2.25,170941088.5,68005.84099520143,1753800734237,Synapse54,1753800734237,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,52,1.57,1.57,8847420.0,13869.752401834681,1753800734237,Synapse54,1753800734237,Synapse54
92,"G6L (Plessisville, QC)",G6L,437,5.86,5.86,727703425.5,150480.86599396955,1753800734237,Synapse54,1753800734237,Synapse54
93,"G6P (Victoriaville, QC)",G6P,1044,6.82,6.82,43162857.0,67077.33804588739,1753800734237,Synapse54,1753800734237,Synapse54
94,"G6R (Victoriaville, QC)",G6R,39,2.1,2.1,111890007.5,67049.5189257073,1753800734237,Synapse54,1753800734237,Synapse54
95,"G6S (Victoriaville, QC)",G6S,108,4.59,4.59,93883157.5,65606.32420350032,1753800734237,Synapse54,1753800734237,Synapse54
96,"G6T (Victoriaville, QC)",G6T,171,3.48,3.48,97646146.0,79862.46403678902,1753800734237,Synapse54,1753800734237,Synapse54
97,"G6V (Levis, QC)",G6V,1112,6.58,6.58,51005706.5,85820.66591178898,1753800734237,Synapse54,1753800734237,Synapse54
98,"G6W (Levis, QC)",G6W,1011,8.02,8.02,54365583.5,57031.8227070878,1753800734237,Synapse54,1753800734237,Synapse54
99,"G6X (Levis, QC)",G6X,348,7.28,7.28,17532207.0,18566.178953389182,1753800734237,Synapse54,1753800734237,Synapse54
100,"G6Y (Levis, QC)",G6Y,279,8.16,8.16,48673784.5,36076.08982567784,1753800734237,Synapse54,1753800734237,Synapse54
101,"G6Z (Saint-Jean-Chrysostome, QC)",G6Z,196,1.98,1.98,206313300.5,81637.94553350794,1753800734237,Synapse54,1753800734237,Synapse54
102,"G7A (Saint-Nicolas, QC)",G7A,414,3.76,3.76,206385794.0,76585.07395132218,1753800734237,Synapse54,1753800734237,Synapse54
103,"G7B (La Baie, QC)",G7B,376,4.39,4.39,731098795.5,122236.04683671948,1753800734237,Synapse54,1753800734237,Synapse54
104,"G7G (Chicoutimi, QC)",G7G,329,4.33,4.33,83451590.0,72026.82978856695,1753800734237,Synapse54,1753800734237,Synapse54
105,"G7H (Chicoutimi, QC)",G7H,1560,10.41,10.41,335780132.5,155297.87503251838,1753800734237,Synapse54,1753800734237,Synapse54
106,"G7J (Chicoutimi, QC)",G7J,582,8.16,8.16,48516569.0,31553.718168111947,1753800734237,Synapse54,1753800734237,Synapse54
107,"G7K (Chicoutimi, QC)",G7K,12,3.31,3.31,13787400.5,25129.491914885974,1753800734237,Synapse54,1753800734237,Synapse54
108,"G7N (Laterriere, QC)",G7N,48,1.8,1.8,572266521.5,131134.86527943268,1753800734237,Synapse54,1753800734237,Synapse54
109,"G7P (Chicoutimi, QC)",G7P,60,1.8,1.8,535052258.5,133662.40227307807,1753800734237,Synapse54,1753800734237,Synapse54
110,"G7S (Jonquiere, QC)",G7S,313,3.57,3.57,90965725.5,53543.07738017431,1753800734237,Synapse54,1753800734237,Synapse54
111,"G7T (Jonquiere, QC)",G7T,67,8.32,8.32,11024436.0,23113.794147733155,1753800734237,Synapse54,1753800734237,Synapse54
112,"G7X (Jonquiere, QC)",G7X,1036,7.78,7.78,675028246.5,279259.2165036962,1753800734237,Synapse54,1753800734237,Synapse54
113,"G7Y (Jonquiere, QC)",G7Y,15,5.03,5.03,28364189.0,37375.76013155794,1753800734237,Synapse54,1753800734237,Synapse54
114,"G7Z (Jonquiere, QC)",G7Z,9,0.82,0.82,16183341.0,21290.870310459137,1753800734237,Synapse54,1753800734237,Synapse54
115,"G8A (Jonquiere, QC)",G8A,204,7.06,7.06,52092756.5,55678.19403946566,1753800734237,Synapse54,1753800734237,Synapse54
116,"G8B (Alma, QC)",G8B,572,5.48,5.48,297457310.0,211237.01895446505,1753800734237,Synapse54,1753800734237,Synapse54
117,"G8C (Alma, QC)",G8C,67,2.92,2.92,47590945.0,51183.77436174367,1753800734237,Synapse54,1753800734237,Synapse54
118,"G8E (Alma, QC)",G8E,41,2.36,2.36,198550679.5,111351.61663855895,1753800734237,Synapse54,1753800734237,Synapse54
119,"G8G (Metabetchouan-Lac-A-La-Croix, QC)",G8G,56,2.93,2.93,435537293.5,100773.33142038128,1753800734237,Synapse54,1753800734237,Synapse54
120,"G8H (Roberval, QC)",G8H,232,4.66,4.66,543189787.1757812,135904.14248114204,1753800734237,Synapse54,1753800734237,Synapse54
121,"G8J (Chicoutimi, QC)",G8J,35,1.85,1.85,2344096837.0,302744.5493028244,1753800734237,Synapse54,1753800734237,Synapse54
122,"G8K (Saint-Felicien, QC)",G8K,249,5.0,5.0,860422895.5,186957.39961478047,1753800734237,Synapse54,1753800734237,Synapse54
123,"G8L (Dolbeau-Mistassini, QC)",G8L,447,6.68,6.68,3537542888.8203125,527284.6001355818,1753800734237,Synapse54,1753800734237,Synapse54
124,"G8M (Normandin, QC)",G8M,63,2.72,2.72,1017813603.5,185656.56193391615,1753800734237,Synapse54,1753800734237,Synapse54
125,"G8N (Hebertville, QC)",G8N,33,2.92,2.92,473865737.0,121456.61747790436,1753800734237,Synapse54,1753800734237,Synapse54
126,"G8P (Chibougamau, QC)",G8P,184,5.62,5.62,2435879767.5,197043.63571528325,1753800734237,Synapse54,1753800734237,Synapse54
127,"G8T (Trois-Rivieres, QC)",G8T,692,4.86,4.86,53667241.0,76442.1934749919,1753800734237,Synapse54,1753800734237,Synapse54
128,"G8V (Trois-Rivieres, QC)",G8V,165,3.52,3.52,104632608.0,66015.1834431966,1753800734237,Synapse54,1753800734237,Synapse54
129,"G8W (Trois-Rivieres, QC)",G8W,251,4.9,4.9,128446737.0,76697.25349343411,1753800734237,Synapse54,1753800734237,Synapse54
130,"G8Y (Trois-Rivieres, QC)",G8Y,1455,8.85,8.85,45724725.5,37933.330899285655,1753800734237,Synapse54,1753800734237,Synapse54
131,"G8Z (Trois-Rivieres, QC)",G8Z,772,10.32,10.32,16678138.0,22099.08240994394,1753800734237,Synapse54,1753800734237,Synapse54
132,"G9A (Trois-Rivieres, QC)",G9A,999,8.22,8.22,105086814.0,113245.62209754915,1753800734237,Synapse54,1753800734237,Synapse54
133,"G9B (Trois-Rivieres, QC)",G9B,347,4.03,4.03,216934834.5,89385.35803757486,1753800734237,Synapse54,1753800734237,Synapse54
134,"G9C (Trois-Rivieres, QC)",G9C,40,2.26,2.26,12875179.0,26201.339674832936,1753800734237,Synapse54,1753800734237,Synapse54
135,"G9H (Becancour, QC)",G9H,306,4.56,4.56,965246378.5,214717.67022828877,1753800734237,Synapse54,1753800734237,Synapse54
136,"G9N (Shawinigan, QC)",G9N,475,5.2,5.2,149583035.5,113854.1611209567,1753800734237,Synapse54,1753800734237,Synapse54
137,"G9P (Shawinigan, QC)",G9P,181,3.07,3.07,32510118.0,38949.97843748969,1753800734237,Synapse54,1753800734237,Synapse54
138,"G9R (Shawinigan, QC)",G9R,16,1.34,1.34,156430596.5,105284.31387222232,1753800734237,Synapse54,1753800734237,Synapse54
139,"G9T (Grand-Mere, QC)",G9T,290,3.34,3.34,175921560.5,90399.15322236488,1753800734237,Synapse54,1753800734237,Synapse54
140,"G9X (La Tuque, QC)",G9X,221,4.16,4.16,4798536478.5,388015.362952818,1753800734237,Synapse54,1753800734237,Synapse54
141,"H0M (Akwesasne, QC)",H0M,0,0.0,0.0,4195699.0,36371.52492841964,1753800734237,Synapse54,1753800734237,Synapse54
142,"H1A (Montreal, QC)",H1A,983,6.37,6.37,32047972.5,27217.161718354222,1753800734237,Synapse54,1753800734237,Synapse54
143,"H1B (Montreal, QC)",H1B,485,5.2,5.2,42382103.0,29920.24369847441,1753800734237,Synapse54,1753800734237,Synapse54
144,"H1C (Montreal, QC)",H1C,119,2.36,2.36,26679819.5,25870.587310829436,1753800734237,Synapse54,1753800734237,Synapse54
145,"H1E (Montreal, QC)",H1E,801,4.62,4.62,29995565.0,23264.2709841518,1753800734237,Synapse54,1753800734237,Synapse54
146,"H1G (Montreal, QC)",H1G,1755,8.36,8.36,16132403.5,17322.15503203977,1753800734237,Synapse54,1753800734237,Synapse54
147,"H1H (Montreal, QC)",H1H,1281,7.69,7.69,10210927.5,13709.108640935121,1753800734237,Synapse54,1753800734237,Synapse54
148,"H1J (Montreal, QC)",H1J,401,8.26,8.26,18502722.0,18581.449355666224,1753800734237,Synapse54,1753800734237,Synapse54
149,"H1K (Montreal, QC)",H1K,844,5.32,5.32,12667226.5,15052.99246391506,1753800734237,Synapse54,1753800734237,Synapse54
150,"H1L (Montreal, QC)",H1L,1212,7.18,7.18,13596541.5,17573.19469361058,1753800734237,Synapse54,1753800734237,Synapse54
151,"H1M (Montreal, QC)",H1M,1143,7.97,7.97,10690212.5,15457.65729265879,1753800734237,Synapse54,1753800734237,Synapse54
152,"H1N (Montreal, QC)",H1N,1047,8.57,8.57,114734629.5,108616.9951420107,1753800734237,Synapse54,1753800734237,Synapse54
153,"H1P (Montreal, QC)",H1P,533,6.89,6.89,10601632.5,14342.38560083787,1753800734237,Synapse54,1753800734237,Synapse54
154,"H1R (Montreal, QC)",H1R,573,4.69,4.69,9518827.0,14180.86920094836,1753800734237,Synapse54,1753800734237,Synapse54
155,"H1S (Montreal, QC)",H1S,1178,10.27,10.27,7438851.0,13261.062397135287,1753800734237,Synapse54,1753800734237,Synapse54
156,"H1T (Montreal, QC)",H1T,1197,7.47,7.47,8407123.5,15836.037610683787,1753800734237,Synapse54,1753800734237,Synapse54
157,"H1V (Montreal, QC)",H1V,1607,13.21,13.21,6852649.0,10988.833869692491,1753800734237,Synapse54,1753800734237,Synapse54
158,"H1W (Montreal, QC)",H1W,2277,12.66,12.66,6100526.0,11263.239274717751,1753800734237,Synapse54,1753800734237,Synapse54
159,"H1X (Montreal, QC)",H1X,1879,11.57,11.57,8450164.0,13619.608619583656,1753800734237,Synapse54,1753800734237,Synapse54
160,"H1Y (Montreal, QC)",H1Y,1280,8.32,8.32,5352874.0,10916.549919811729,1753800734237,Synapse54,1753800734237,Synapse54
161,"H1Z (Montreal, QC)",H1Z,989,6.81,6.81,14307589.5,14883.881987328181,1753800734237,Synapse54,1753800734237,Synapse54
162,"H2A (Montreal, QC)",H2A,847,8.69,8.69,4232942.0,8758.55230005682,1753800734237,Synapse54,1753800734237,Synapse54
163,"H2B (Montreal, QC)",H2B,394,4.64,4.64,5947505.5,9676.70118562271,1753800734237,Synapse54,1753800734237,Synapse54
164,"H2C (Montreal, QC)",H2C,597,6.31,6.31,5556278.0,9971.926462140602,1753800734237,Synapse54,1753800734237,Synapse54
165,"H2E (Montreal, QC)",H2E,825,7.15,7.15,3830518.5,8073.841629300861,1753800734237,Synapse54,1753800734237,Synapse54
166,"H2G (Montreal, QC)",H2G,965,8.48,8.48,4217958.5,9248.80721597901,1753800734237,Synapse54,1753800734237,Synapse54
167,"H2H (Montreal, QC)",H2H,1011,13.6,13.6,2682198.0,6982.709947140798,1753800734237,Synapse54,1753800734237,Synapse54
168,"H2J (Montreal, QC)",H2J,2230,14.77,14.77,3975815.0,8085.511309426667,1753800734237,Synapse54,1753800734237,Synapse54
169,"H2K (Montreal, QC)",H2K,2732,15.58,15.58,5762510.0,9775.787359183401,1753800734237,Synapse54,1753800734237,Synapse54
170,"H2L (Montreal, QC)",H2L,3452,20.08,20.08,5652250.0,10530.305700195246,1753800734237,Synapse54,1753800734237,Synapse54
171,"H2M (Montreal, QC)",H2M,847,8.99,8.99,6840427.0,11504.156734199103,1753800734237,Synapse54,1753800734237,Synapse54
172,"H2N (Montreal, QC)",H2N,194,6.79,6.79,2336770.0,6414.770804238481,1753800734237,Synapse54,1753800734237,Synapse54
173,"H2P (Montreal, QC)",H2P,596,7.86,7.86,3440041.0,8481.97690702558,1753800734237,Synapse54,1753800734237,Synapse54
174,"H2R (Montreal, QC)",H2R,1355,10.34,10.34,4573627.0,8588.564684485442,1753800734237,Synapse54,1753800734237,Synapse54
175,"H2S (Montreal, QC)",H2S,2000,12.36,12.36,5062352.5,9483.95666520098,1753800734237,Synapse54,1753800734237,Synapse54
176,"H2T (Montreal, QC)",H2T,1392,14.46,14.46,2792933.0,7309.603445409373,1753800734237,Synapse54,1753800734237,Synapse54
177,"H2V (Montreal, QC)",H2V,1462,11.22,11.22,9406781.5,15649.479624539856,1753800734237,Synapse54,1753800734237,Synapse54
178,"H2W (Montreal, QC)",H2W,840,13.63,13.63,2122029.5,6886.736160398394,1753800734237,Synapse54,1753800734237,Synapse54
179,"H2X (Montreal, QC)",H2X,2363,16.17,16.17,3260860.5,9016.990098210114,1753800734237,Synapse54,1753800734237,Synapse54
180,"H2Y (Montreal, QC)",H2Y,799,30.27,30.27,1658875.0,7811.331119881591,1753800734237,Synapse54,1753800734237,Synapse54
181,"H2Z (Montreal, QC)",H2Z,1620,60.45,60.45,598367.5,3228.1201023826216,1753800734237,Synapse54,1753800734237,Synapse54
182,"H3A (Montreal, QC)",H3A,1343,40.4,40.4,1952640.0,8051.6260641867375,1753800734237,Synapse54,1753800734237,Synapse54
183,"H3B (Montreal, QC)",H3B,900,59.72,59.72,927950.0,5036.520981944944,1753800734237,Synapse54,1753800734237,Synapse54
184,"H3C (Montreal, QC)",H3C,6669,47.42,47.42,17209727.0,33681.90517416176,1753800734237,Synapse54,1753800734237,Synapse54
185,"H3E (Montreal, QC)",H3E,1634,14.76,14.76,9825716.5,14615.034290309737,1753800734237,Synapse54,1753800734237,Synapse54
186,"H3G (Montreal, QC)",H3G,2725,32.93,32.93,2139910.0,8520.81981818768,1753800734237,Synapse54,1753800734237,Synapse54
187,"H3H (Montreal, QC)",H3H,2721,20.89,20.89,5138945.5,17420.06994824536,1753800734237,Synapse54,1753800734237,Synapse54
188,"H3J (Montreal, QC)",H3J,1241,19.05,19.05,2674031.0,6742.466153977455,1753800734237,Synapse54,1753800734237,Synapse54
189,"H3K (Montreal, QC)",H3K,1089,13.63,13.63,6571158.0,11318.657050191392,1753800734237,Synapse54,1753800734237,Synapse54
190,"H3L (Montreal, QC)",H3L,702,6.87,6.87,8682987.0,13055.356607199148,1753800734237,Synapse54,1753800734237,Synapse54
191,"H3M (Montreal, QC)",H3M,259,4.14,4.14,5900605.5,11105.82837103115,1753800734237,Synapse54,1753800734237,Synapse54
192,"H3N (Montreal, QC)",H3N,902,7.05,7.05,3362662.5,8891.918324885475,1753800734237,Synapse54,1753800734237,Synapse54
193,"H3P (Montreal, QC)",H3P,184,4.8,4.8,5651704.5,9798.453260458433,1753800734237,Synapse54,1753800734237,Synapse54
194,"H3R (Montreal, QC)",H3R,249,6.43,6.43,5400500.0,9553.23690396402,1753800734237,Synapse54,1753800734237,Synapse54
195,"H3S (Montreal, QC)",H3S,1596,10.17,10.17,5351564.5,9656.774003388971,1753800734237,Synapse54,1753800734237,Synapse54
196,"H3T (Montreal, QC)",H3T,899,12.66,12.66,3607516.5,8899.065890536858,1753800734237,Synapse54,1753800734237,Synapse54
