OBJECTID,DESCRIPTION,ID,ECYTENRENT,ECYTENRENT_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
40,"G2B (Quebec, QC)",G2B,4712,41.33,41.33,24328924.5,22475.77399457994,1753799876791,Synapse54,1753799876791,Synapse54
41,"G2C (Quebec, QC)",G2C,2841,45.6,45.6,18432837.5,23131.360190110616,1753799876791,Synapse54,1753799876791,Synapse54
42,"G2E (Quebec, QC)",G2E,2609,27.07,27.07,27707972.5,23903.30796073271,1753799876791,Synapse54,1753799876791,Synapse54
43,"G2G (Quebec, QC)",G2G,919,19.01,19.01,101799470.5,45275.85044604026,1753799876791,Synapse54,1753799876791,Synapse54
44,"G2J (Quebec, QC)",G2J,1014,57.26,57.26,5412144.5,9862.14108739791,1753799876791,Synapse54,1753799876791,Synapse54
45,"G2K (Quebec, QC)",G2K,3048,41.89,41.89,30349819.5,31745.12588440936,1753799876791,Synapse54,1753799876791,Synapse54
46,"G2L (Quebec, QC)",G2L,1950,28.59,28.59,25127554.5,22805.966601331882,1753799876791,Synapse54,1753799876791,Synapse54
47,"G2M (Quebec, QC)",G2M,454,18.34,18.34,44779584.0,34604.08492657024,1753799876791,Synapse54,1753799876791,Synapse54
48,"G2N (Quebec, QC)",G2N,668,18.47,18.47,31035228.5,31796.238354131285,1753799876791,Synapse54,1753799876791,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,1847,20.19,20.19,188876871.0,74472.4753726992,1753799876791,Synapse54,1753799876791,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,372,10.87,10.87,139197319.5,64423.23371099803,1753799876791,Synapse54,1753799876791,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,541,11.92,11.92,1330849498.5,175874.56931808186,1753799876791,Synapse54,1753799876791,Synapse54
52,"G3E (Quebec, QC)",G3E,1208,19.08,19.08,18489209.0,20620.301807363456,1753799876791,Synapse54,1753799876791,Synapse54
53,"G3G (Quebec, QC)",G3G,523,12.21,12.21,83002473.0,53192.861834286385,1753799876791,Synapse54,1753799876791,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,1071,23.34,23.34,279179695.0,100842.62742278028,1753799876791,Synapse54,1753799876791,Synapse54
55,"G3J (Quebec, QC)",G3J,1289,27.54,27.54,85589532.0,54640.87343863765,1753799876791,Synapse54,1753799876791,Synapse54
56,"G3K (Quebec, QC)",G3K,2399,27.99,27.99,66926850.0,43417.9629367511,1753799876791,Synapse54,1753799876791,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,1124,21.12,21.12,2499240685.5,293711.66523440205,1753799876791,Synapse54,1753799876791,Synapse54
58,"G3M (Donnacona, QC)",G3M,1261,35.24,35.24,76895468.5,38932.06578942634,1753799876791,Synapse54,1753799876791,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,657,14.2,14.2,179093818.5,91193.27748891739,1753799876791,Synapse54,1753799876791,Synapse54
60,"G3S (Quebec, QC)",G3S,682,25.68,25.68,162242772.5,88360.35793053103,1753799876791,Synapse54,1753799876791,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,1411,38.09,38.09,1221045873.0,165284.53951195258,1753799876791,Synapse54,1753799876791,Synapse54
62,"G4A (Clermont, QC)",G4A,495,32.04,32.04,1226794529.0,167560.43929327332,1753799876791,Synapse54,1753799876791,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,3562,38.6,38.6,1888740693.0195312,364416.3918226564,1753799876791,Synapse54,1753799876791,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,356,16.46,16.46,13736729.5,31952.335224803264,1753799876791,Synapse54,1753799876791,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,1560,24.83,24.83,500054815.0,511013.5871236407,1753799876791,Synapse54,1753799876791,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,1066,32.86,32.86,780273522.0,168670.12216022852,1753799876791,Synapse54,1753799876791,Synapse54
67,"G4W (Matane, QC)",G4W,3086,41.5,41.5,466220652.0,100520.51806568402,1753799876791,Synapse54,1753799876791,Synapse54
68,"G4X (Gaspe, QC)",G4X,2078,28.94,28.94,2615126201.546875,406673.89112098655,1753799876791,Synapse54,1753799876791,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,1193,27.14,27.14,1669244051.0,336717.80497552885,1753799876791,Synapse54,1753799876791,Synapse54
70,"G5A (La Malbaie, QC)",G5A,1300,32.44,32.44,905867526.5,176911.55690727945,1753799876791,Synapse54,1753799876791,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,800,28.75,28.75,742256392.5,203831.72178845698,1753799876791,Synapse54,1753799876791,Synapse54
72,"G5C (Baie-Comeau, QC)",G5C,1871,35.58,35.58,78061848.0,48691.63220890317,1753799876791,Synapse54,1753799876791,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,1367,40.78,40.78,128376656.5,53923.191144203476,1753799876791,Synapse54,1753799876791,Synapse54
74,"G5J (Amqui, QC)",G5J,1019,33.93,33.93,310530648.5,97437.56642828621,1753799876791,Synapse54,1753799876791,Synapse54
75,"G5L (Rimouski, QC)",G5L,7664,50.77,50.77,115966883.0,88926.49071239203,1753799876791,Synapse54,1753799876791,Synapse54
76,"G5M (Rimouski, QC)",G5M,990,24.28,24.28,66332097.0,52169.63739391678,1753799876791,Synapse54,1753799876791,Synapse54
77,"G5N (Rimouski, QC)",G5N,529,14.23,14.23,414167429.0,104413.83144964176,1753799876791,Synapse54,1753799876791,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,4616,46.42,46.42,182737573.0,77061.18159356514,1753799876791,Synapse54,1753799876791,Synapse54
79,"G5T (Degelis, QC)",G5T,504,35.39,35.39,1107888892.0,146757.59518407704,1753799876791,Synapse54,1753799876791,Synapse54
80,"G5V (Montmagny, QC)",G5V,2505,43.52,43.52,282245095.0,82682.88684580137,1753799876791,Synapse54,1753799876791,Synapse54
81,"G5X (Beauceville, QC)",G5X,864,30.55,30.55,336857190.0,91090.00846556539,1753799876791,Synapse54,1753799876791,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,5170,43.06,43.06,169548327.0,148240.89990521545,1753799876791,Synapse54,1753799876791,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,981,29.25,29.25,219710089.0,133870.3845435117,1753799876791,Synapse54,1753799876791,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,193,22.21,22.21,12731588.0,28099.846637013223,1753799876791,Synapse54,1753799876791,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,1639,38.77,38.77,525968305.0,147830.6226949515,1753799876791,Synapse54,1753799876791,Synapse54
86,"G6C (Pintendre, QC)",G6C,1242,34.01,34.01,171728656.5,62758.50767570228,1753799876791,Synapse54,1753799876791,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,1723,29.49,29.49,242749292.5,88129.38426536831,1753799876791,Synapse54,1753799876791,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,3724,37.08,37.08,432553661.5,137866.85051543516,1753799876791,Synapse54,1753799876791,Synapse54
89,"G6H (Thetford Mines, QC)",G6H,684,21.47,21.47,381525955.5,208711.52055490302,1753799876791,Synapse54,1753799876791,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,986,21.55,21.55,170941088.5,68005.84099520143,1753799876791,Synapse54,1753799876791,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,529,15.93,15.93,8847420.0,13869.752401834681,1753799876791,Synapse54,1753799876791,Synapse54
92,"G6L (Plessisville, QC)",G6L,2570,34.49,34.49,727703425.5,150480.86599396955,1753799876791,Synapse54,1753799876791,Synapse54
93,"G6P (Victoriaville, QC)",G6P,7628,49.87,49.87,43162857.0,67077.33804588739,1753799876791,Synapse54,1753799876791,Synapse54
94,"G6R (Victoriaville, QC)",G6R,256,13.77,13.77,111890007.5,67049.5189257073,1753799876791,Synapse54,1753799876791,Synapse54
95,"G6S (Victoriaville, QC)",G6S,650,27.61,27.61,93883157.5,65606.32420350032,1753799876791,Synapse54,1753799876791,Synapse54
96,"G6T (Victoriaville, QC)",G6T,1256,25.6,25.6,97646146.0,79862.46403678902,1753799876791,Synapse54,1753799876791,Synapse54
97,"G6V (Levis, QC)",G6V,8634,51.06,51.06,51005706.5,85820.66591178898,1753799876791,Synapse54,1753799876791,Synapse54
98,"G6W (Levis, QC)",G6W,5733,45.5,45.5,54365583.5,57031.8227070878,1753799876791,Synapse54,1753799876791,Synapse54
99,"G6X (Levis, QC)",G6X,2144,44.85,44.85,17532207.0,18566.178953389182,1753799876791,Synapse54,1753799876791,Synapse54
100,"G6Y (Levis, QC)",G6Y,1274,37.24,37.24,48673784.5,36076.08982567784,1753799876791,Synapse54,1753799876791,Synapse54
101,"G6Z (Saint-Jean-Chrysostome, QC)",G6Z,1672,16.91,16.91,206313300.5,81637.94553350794,1753799876791,Synapse54,1753799876791,Synapse54
102,"G7A (Saint-Nicolas, QC)",G7A,2725,24.72,24.72,206385794.0,76585.07395132218,1753799876791,Synapse54,1753799876791,Synapse54
103,"G7B (La Baie, QC)",G7B,3348,39.06,39.06,731098795.5,122236.04683671948,1753799876791,Synapse54,1753799876791,Synapse54
104,"G7G (Chicoutimi, QC)",G7G,2246,29.53,29.53,83451590.0,72026.82978856695,1753799876791,Synapse54,1753799876791,Synapse54
105,"G7H (Chicoutimi, QC)",G7H,7389,49.32,49.32,335780132.5,155297.87503251838,1753799876791,Synapse54,1753799876791,Synapse54
106,"G7J (Chicoutimi, QC)",G7J,3121,43.76,43.76,48516569.0,31553.718168111947,1753799876791,Synapse54,1753799876791,Synapse54
107,"G7K (Chicoutimi, QC)",G7K,84,23.14,23.14,13787400.5,25129.491914885974,1753799876791,Synapse54,1753799876791,Synapse54
108,"G7N (Laterriere, QC)",G7N,371,13.92,13.92,572266521.5,131134.86527943268,1753799876791,Synapse54,1753799876791,Synapse54
109,"G7P (Chicoutimi, QC)",G7P,539,16.17,16.17,535052258.5,133662.40227307807,1753799876791,Synapse54,1753799876791,Synapse54
110,"G7S (Jonquiere, QC)",G7S,2076,23.67,23.67,90965725.5,53543.07738017431,1753799876791,Synapse54,1753799876791,Synapse54
111,"G7T (Jonquiere, QC)",G7T,285,35.4,35.4,11024436.0,23113.794147733155,1753799876791,Synapse54,1753799876791,Synapse54
112,"G7X (Jonquiere, QC)",G7X,6499,48.81,48.81,675028246.5,279259.2165036962,1753799876791,Synapse54,1753799876791,Synapse54
113,"G7Y (Jonquiere, QC)",G7Y,105,35.23,35.23,28364189.0,37375.76013155794,1753799876791,Synapse54,1753799876791,Synapse54
114,"G7Z (Jonquiere, QC)",G7Z,160,14.64,14.64,16183341.0,21290.870310459137,1753799876791,Synapse54,1753799876791,Synapse54
115,"G8A (Jonquiere, QC)",G8A,1122,38.85,38.85,52092756.5,55678.19403946566,1753799876791,Synapse54,1753799876791,Synapse54
116,"G8B (Alma, QC)",G8B,4073,39.01,39.01,297457310.0,211237.01895446505,1753799876791,Synapse54,1753799876791,Synapse54
117,"G8C (Alma, QC)",G8C,457,19.91,19.91,47590945.0,51183.77436174367,1753799876791,Synapse54,1753799876791,Synapse54
118,"G8E (Alma, QC)",G8E,396,22.81,22.81,198550679.5,111351.61663855895,1753799876791,Synapse54,1753799876791,Synapse54
119,"G8G (Metabetchouan-Lac-A-La-Croix, QC)",G8G,438,22.88,22.88,435537293.5,100773.33142038128,1753799876791,Synapse54,1753799876791,Synapse54
120,"G8H (Roberval, QC)",G8H,1564,31.44,31.44,543189787.1757812,135904.14248114204,1753799876791,Synapse54,1753799876791,Synapse54
121,"G8J (Chicoutimi, QC)",G8J,369,19.46,19.46,2344096837.0,302744.5493028244,1753799876791,Synapse54,1753799876791,Synapse54
122,"G8K (Saint-Felicien, QC)",G8K,1407,28.26,28.26,860422895.5,186957.39961478047,1753799876791,Synapse54,1753799876791,Synapse54
123,"G8L (Dolbeau-Mistassini, QC)",G8L,2208,32.99,32.99,3537542888.8203125,527284.6001355818,1753799876791,Synapse54,1753799876791,Synapse54
124,"G8M (Normandin, QC)",G8M,427,18.44,18.44,1017813603.5,185656.56193391615,1753799876791,Synapse54,1753799876791,Synapse54
125,"G8N (Hebertville, QC)",G8N,241,21.29,21.29,473865737.0,121456.61747790436,1753799876791,Synapse54,1753799876791,Synapse54
126,"G8P (Chibougamau, QC)",G8P,984,30.07,30.07,2435879767.5,197043.63571528325,1753799876791,Synapse54,1753799876791,Synapse54
127,"G8T (Trois-Rivieres, QC)",G8T,6773,47.54,47.54,53667241.0,76442.1934749919,1753799876791,Synapse54,1753799876791,Synapse54
128,"G8V (Trois-Rivieres, QC)",G8V,1195,25.49,25.49,104632608.0,66015.1834431966,1753799876791,Synapse54,1753799876791,Synapse54
129,"G8W (Trois-Rivieres, QC)",G8W,1737,33.93,33.93,128446737.0,76697.25349343411,1753799876791,Synapse54,1753799876791,Synapse54
130,"G8Y (Trois-Rivieres, QC)",G8Y,6672,40.56,40.56,45724725.5,37933.330899285655,1753799876791,Synapse54,1753799876791,Synapse54
131,"G8Z (Trois-Rivieres, QC)",G8Z,5336,71.35,71.35,16678138.0,22099.08240994394,1753799876791,Synapse54,1753799876791,Synapse54
132,"G9A (Trois-Rivieres, QC)",G9A,8666,71.28,71.28,105086814.0,113245.62209754915,1753799876791,Synapse54,1753799876791,Synapse54
133,"G9B (Trois-Rivieres, QC)",G9B,1982,23.05,23.05,216934834.5,89385.35803757486,1753799876791,Synapse54,1753799876791,Synapse54
134,"G9C (Trois-Rivieres, QC)",G9C,168,9.48,9.48,12875179.0,26201.339674832936,1753799876791,Synapse54,1753799876791,Synapse54
135,"G9H (Becancour, QC)",G9H,1685,25.09,25.09,965246378.5,214717.67022828877,1753799876791,Synapse54,1753799876791,Synapse54
136,"G9N (Shawinigan, QC)",G9N,5385,58.95,58.95,149583035.5,113854.1611209567,1753799876791,Synapse54,1753799876791,Synapse54
137,"G9P (Shawinigan, QC)",G9P,2376,40.31,40.31,32510118.0,38949.97843748969,1753799876791,Synapse54,1753799876791,Synapse54
138,"G9R (Shawinigan, QC)",G9R,177,14.84,14.84,156430596.5,105284.31387222232,1753799876791,Synapse54,1753799876791,Synapse54
139,"G9T (Grand-Mere, QC)",G9T,3413,39.31,39.31,175921560.5,90399.15322236488,1753799876791,Synapse54,1753799876791,Synapse54
140,"G9X (La Tuque, QC)",G9X,1679,31.63,31.63,4798536478.5,388015.362952818,1753799876791,Synapse54,1753799876791,Synapse54
141,"H0M (Akwesasne, QC)",H0M,0,0.0,0.0,4195699.0,36371.52492841964,1753799876791,Synapse54,1753799876791,Synapse54
142,"H1A (Montreal, QC)",H1A,6308,40.86,40.86,32047972.5,27217.161718354222,1753799876791,Synapse54,1753799876791,Synapse54
143,"H1B (Montreal, QC)",H1B,5123,54.97,54.97,42382103.0,29920.24369847441,1753799876791,Synapse54,1753799876791,Synapse54
144,"H1C (Montreal, QC)",H1C,797,15.77,15.77,26679819.5,25870.587310829436,1753799876791,Synapse54,1753799876791,Synapse54
145,"H1E (Montreal, QC)",H1E,6515,37.56,37.56,29995565.0,23264.2709841518,1753799876791,Synapse54,1753799876791,Synapse54
146,"H1G (Montreal, QC)",H1G,15059,71.73,71.73,16132403.5,17322.15503203977,1753799876791,Synapse54,1753799876791,Synapse54
147,"H1H (Montreal, QC)",H1H,11928,71.58,71.58,10210927.5,13709.108640935121,1753799876791,Synapse54,1753799876791,Synapse54
148,"H1J (Montreal, QC)",H1J,2546,52.45,52.45,18502722.0,18581.449355666224,1753799876791,Synapse54,1753799876791,Synapse54
149,"H1K (Montreal, QC)",H1K,8843,55.78,55.78,12667226.5,15052.99246391506,1753799876791,Synapse54,1753799876791,Synapse54
150,"H1L (Montreal, QC)",H1L,10262,60.82,60.82,13596541.5,17573.19469361058,1753799876791,Synapse54,1753799876791,Synapse54
151,"H1M (Montreal, QC)",H1M,8565,59.71,59.71,10690212.5,15457.65729265879,1753799876791,Synapse54,1753799876791,Synapse54
152,"H1N (Montreal, QC)",H1N,8344,68.26,68.26,114734629.5,108616.9951420107,1753799876791,Synapse54,1753799876791,Synapse54
153,"H1P (Montreal, QC)",H1P,4631,59.86,59.86,10601632.5,14342.38560083787,1753799876791,Synapse54,1753799876791,Synapse54
154,"H1R (Montreal, QC)",H1R,7918,64.85,64.85,9518827.0,14180.86920094836,1753799876791,Synapse54,1753799876791,Synapse54
155,"H1S (Montreal, QC)",H1S,7834,68.31,68.31,7438851.0,13261.062397135287,1753799876791,Synapse54,1753799876791,Synapse54
156,"H1T (Montreal, QC)",H1T,10869,67.87,67.87,8407123.5,15836.037610683787,1753799876791,Synapse54,1753799876791,Synapse54
157,"H1V (Montreal, QC)",H1V,8338,68.52,68.52,6852649.0,10988.833869692491,1753799876791,Synapse54,1753799876791,Synapse54
158,"H1W (Montreal, QC)",H1W,13375,74.39,74.39,6100526.0,11263.239274717751,1753799876791,Synapse54,1753799876791,Synapse54
159,"H1X (Montreal, QC)",H1X,11396,70.19,70.19,8450164.0,13619.608619583656,1753799876791,Synapse54,1753799876791,Synapse54
160,"H1Y (Montreal, QC)",H1Y,9995,64.94,64.94,5352874.0,10916.549919811729,1753799876791,Synapse54,1753799876791,Synapse54
161,"H1Z (Montreal, QC)",H1Z,10707,73.75,73.75,14307589.5,14883.881987328181,1753799876791,Synapse54,1753799876791,Synapse54
162,"H2A (Montreal, QC)",H2A,6738,69.13,69.13,4232942.0,8758.55230005682,1753799876791,Synapse54,1753799876791,Synapse54
163,"H2B (Montreal, QC)",H2B,5561,65.48,65.48,5947505.5,9676.70118562271,1753799876791,Synapse54,1753799876791,Synapse54
164,"H2C (Montreal, QC)",H2C,6061,64.05,64.05,5556278.0,9971.926462140602,1753799876791,Synapse54,1753799876791,Synapse54
165,"H2E (Montreal, QC)",H2E,8549,74.1,74.1,3830518.5,8073.841629300861,1753799876791,Synapse54,1753799876791,Synapse54
166,"H2G (Montreal, QC)",H2G,7861,69.09,69.09,4217958.5,9248.80721597901,1753799876791,Synapse54,1753799876791,Synapse54
167,"H2H (Montreal, QC)",H2H,5226,70.29,70.29,2682198.0,6982.709947140798,1753799876791,Synapse54,1753799876791,Synapse54
168,"H2J (Montreal, QC)",H2J,9982,66.11,66.11,3975815.0,8085.511309426667,1753799876791,Synapse54,1753799876791,Synapse54
169,"H2K (Montreal, QC)",H2K,13378,76.29,76.29,5762510.0,9775.787359183401,1753799876791,Synapse54,1753799876791,Synapse54
170,"H2L (Montreal, QC)",H2L,12266,71.36,71.36,5652250.0,10530.305700195246,1753799876791,Synapse54,1753799876791,Synapse54
171,"H2M (Montreal, QC)",H2M,5652,59.97,59.97,6840427.0,11504.156734199103,1753799876791,Synapse54,1753799876791,Synapse54
172,"H2N (Montreal, QC)",H2N,1734,60.71,60.71,2336770.0,6414.770804238481,1753799876791,Synapse54,1753799876791,Synapse54
173,"H2P (Montreal, QC)",H2P,5094,67.19,67.19,3440041.0,8481.97690702558,1753799876791,Synapse54,1753799876791,Synapse54
174,"H2R (Montreal, QC)",H2R,8904,67.95,67.95,4573627.0,8588.564684485442,1753799876791,Synapse54,1753799876791,Synapse54
175,"H2S (Montreal, QC)",H2S,11257,69.55,69.55,5062352.5,9483.95666520098,1753799876791,Synapse54,1753799876791,Synapse54
176,"H2T (Montreal, QC)",H2T,6502,67.53,67.53,2792933.0,7309.603445409373,1753799876791,Synapse54,1753799876791,Synapse54
177,"H2V (Montreal, QC)",H2V,6714,51.52,51.52,9406781.5,15649.479624539856,1753799876791,Synapse54,1753799876791,Synapse54
178,"H2W (Montreal, QC)",H2W,4315,70.01,70.01,2122029.5,6886.736160398394,1753799876791,Synapse54,1753799876791,Synapse54
179,"H2X (Montreal, QC)",H2X,12065,82.56,82.56,3260860.5,9016.990098210114,1753799876791,Synapse54,1753799876791,Synapse54
180,"H2Y (Montreal, QC)",H2Y,1266,47.95,47.95,1658875.0,7811.331119881591,1753799876791,Synapse54,1753799876791,Synapse54
181,"H2Z (Montreal, QC)",H2Z,2165,80.78,80.78,598367.5,3228.1201023826216,1753799876791,Synapse54,1753799876791,Synapse54
182,"H3A (Montreal, QC)",H3A,2399,72.17,72.17,1952640.0,8051.6260641867375,1753799876791,Synapse54,1753799876791,Synapse54
183,"H3B (Montreal, QC)",H3B,1032,68.48,68.48,927950.0,5036.520981944944,1753799876791,Synapse54,1753799876791,Synapse54
184,"H3C (Montreal, QC)",H3C,8032,57.11,57.11,17209727.0,33681.90517416176,1753799876791,Synapse54,1753799876791,Synapse54
185,"H3E (Montreal, QC)",H3E,4741,42.82,42.82,9825716.5,14615.034290309737,1753799876791,Synapse54,1753799876791,Synapse54
186,"H3G (Montreal, QC)",H3G,5712,69.04,69.04,2139910.0,8520.81981818768,1753799876791,Synapse54,1753799876791,Synapse54
187,"H3H (Montreal, QC)",H3H,10866,83.41,83.41,5138945.5,17420.06994824536,1753799876791,Synapse54,1753799876791,Synapse54
188,"H3J (Montreal, QC)",H3J,4199,64.45,64.45,2674031.0,6742.466153977455,1753799876791,Synapse54,1753799876791,Synapse54
189,"H3K (Montreal, QC)",H3K,5192,64.99,64.99,6571158.0,11318.657050191392,1753799876791,Synapse54,1753799876791,Synapse54
190,"H3L (Montreal, QC)",H3L,6641,64.96,64.96,8682987.0,13055.356607199148,1753799876791,Synapse54,1753799876791,Synapse54
191,"H3M (Montreal, QC)",H3M,3493,55.85,55.85,5900605.5,11105.82837103115,1753799876791,Synapse54,1753799876791,Synapse54
192,"H3N (Montreal, QC)",H3N,10264,80.26,80.26,3362662.5,8891.918324885475,1753799876791,Synapse54,1753799876791,Synapse54
193,"H3P (Montreal, QC)",H3P,1285,33.49,33.49,5651704.5,9798.453260458433,1753799876791,Synapse54,1753799876791,Synapse54
194,"H3R (Montreal, QC)",H3R,1563,40.34,40.34,5400500.0,9553.23690396402,1753799876791,Synapse54,1753799876791,Synapse54
