OBJECTID,DESCRIPTION,ID,P5YHRIAVG,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
72,"G5C (Baie-Comeau, QC)",G5C,95735.45,95735.45,78061848.0,48691.63220890317,1753801778344,Synapse54,1753801778344,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,73395.58,73395.58,128376656.5,53923.191144203476,1753801778344,Synapse54,1753801778344,Synapse54
74,"G5J (Amqui, QC)",G5J,79028.19,79028.19,310530648.5,97437.56642828621,1753801778344,Synapse54,1753801778344,Synapse54
75,"G5L (Rimouski, QC)",G5L,76129.55,76129.55,115966883.0,88926.49071239203,1753801778344,Synapse54,1753801778344,Synapse54
76,"G5M (Rimouski, QC)",G5M,101080.87,101080.87,66332097.0,52169.63739391678,1753801778344,Synapse54,1753801778344,Synapse54
77,"G5N (Rimouski, QC)",G5N,102939.76,102939.76,414167429.0,104413.83144964176,1753801778344,Synapse54,1753801778344,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,87321.25,87321.25,182737573.0,77061.18159356514,1753801778344,Synapse54,1753801778344,Synapse54
79,"G5T (Degelis, QC)",G5T,74434.7,74434.7,1107888892.0,146757.59518407704,1753801778344,Synapse54,1753801778344,Synapse54
80,"G5V (Montmagny, QC)",G5V,74126.94,74126.94,282245095.0,82682.88684580137,1753801778344,Synapse54,1753801778344,Synapse54
81,"G5X (Beauceville, QC)",G5X,85625.81,85625.81,336857190.0,91090.00846556539,1753801778344,Synapse54,1753801778344,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,77709.66,77709.66,169548327.0,148240.89990521545,1753801778344,Synapse54,1753801778344,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,98735.39,98735.39,219710089.0,133870.3845435117,1753801778344,Synapse54,1753801778344,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,110478.64,110478.64,12731588.0,28099.846637013223,1753801778344,Synapse54,1753801778344,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,77495.23,77495.23,525968305.0,147830.6226949515,1753801778344,Synapse54,1753801778344,Synapse54
86,"G6C (Pintendre, QC)",G6C,104897.47,104897.47,171728656.5,62758.50767570228,1753801778344,Synapse54,1753801778344,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,99902.08,99902.08,242749292.5,88129.38426536831,1753801778344,Synapse54,1753801778344,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,74339.3,74339.3,432553661.5,137866.85051543516,1753801778344,Synapse54,1753801778344,Synapse54
89,"G6H (Thetford Mines, QC)",G6H,77186.0,77186.0,381525955.5,208711.52055490302,1753801778344,Synapse54,1753801778344,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,108535.99,108535.99,170941088.5,68005.84099520143,1753801778344,Synapse54,1753801778344,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,127763.54,127763.54,8847420.0,13869.752401834681,1753801778344,Synapse54,1753801778344,Synapse54
92,"G6L (Plessisville, QC)",G6L,77557.81,77557.81,727703425.5,150480.86599396955,1753801778344,Synapse54,1753801778344,Synapse54
93,"G6P (Victoriaville, QC)",G6P,71732.05,71732.05,43162857.0,67077.33804588739,1753801778344,Synapse54,1753801778344,Synapse54
94,"G6R (Victoriaville, QC)",G6R,103903.33,103903.33,111890007.5,67049.5189257073,1753801778344,Synapse54,1753801778344,Synapse54
95,"G6S (Victoriaville, QC)",G6S,95379.26,95379.26,93883157.5,65606.32420350032,1753801778344,Synapse54,1753801778344,Synapse54
96,"G6T (Victoriaville, QC)",G6T,102781.27,102781.27,97646146.0,79862.46403678902,1753801778344,Synapse54,1753801778344,Synapse54
97,"G6V (Levis, QC)",G6V,84422.84,84422.84,51005706.5,85820.66591178898,1753801778344,Synapse54,1753801778344,Synapse54
98,"G6W (Levis, QC)",G6W,98227.54,98227.54,54365583.5,57031.8227070878,1753801778344,Synapse54,1753801778344,Synapse54
99,"G6X (Levis, QC)",G6X,88471.21,88471.21,17532207.0,18566.178953389182,1753801778344,Synapse54,1753801778344,Synapse54
100,"G6Y (Levis, QC)",G6Y,114660.94,114660.94,48673784.5,36076.08982567784,1753801778344,Synapse54,1753801778344,Synapse54
101,"G6Z (Saint-Jean-Chrysostome, QC)",G6Z,128120.47,128120.47,206313300.5,81637.94553350794,1753801778344,Synapse54,1753801778344,Synapse54
102,"G7A (Saint-Nicolas, QC)",G7A,130252.68,130252.68,206385794.0,76585.07395132218,1753801778344,Synapse54,1753801778344,Synapse54
103,"G7B (La Baie, QC)",G7B,93880.25,93880.25,731098795.5,122236.04683671948,1753801778344,Synapse54,1753801778344,Synapse54
104,"G7G (Chicoutimi, QC)",G7G,102920.76,102920.76,83451590.0,72026.82978856695,1753801778344,Synapse54,1753801778344,Synapse54
105,"G7H (Chicoutimi, QC)",G7H,93004.16,93004.16,335780132.5,155297.87503251838,1753801778344,Synapse54,1753801778344,Synapse54
106,"G7J (Chicoutimi, QC)",G7J,89798.24,89798.24,48516569.0,31553.718168111947,1753801778344,Synapse54,1753801778344,Synapse54
107,"G7K (Chicoutimi, QC)",G7K,102814.33,102814.33,13787400.5,25129.491914885974,1753801778344,Synapse54,1753801778344,Synapse54
108,"G7N (Laterriere, QC)",G7N,122783.1,122783.1,572266521.5,131134.86527943268,1753801778344,Synapse54,1753801778344,Synapse54
109,"G7P (Chicoutimi, QC)",G7P,102071.83,102071.83,535052258.5,133662.40227307807,1753801778344,Synapse54,1753801778344,Synapse54
110,"G7S (Jonquiere, QC)",G7S,113641.05,113641.05,90965725.5,53543.07738017431,1753801778344,Synapse54,1753801778344,Synapse54
111,"G7T (Jonquiere, QC)",G7T,117855.07,117855.07,11024436.0,23113.794147733155,1753801778344,Synapse54,1753801778344,Synapse54
112,"G7X (Jonquiere, QC)",G7X,83181.22,83181.22,675028246.5,279259.2165036962,1753801778344,Synapse54,1753801778344,Synapse54
113,"G7Y (Jonquiere, QC)",G7Y,112002.41,112002.41,28364189.0,37375.76013155794,1753801778344,Synapse54,1753801778344,Synapse54
114,"G7Z (Jonquiere, QC)",G7Z,116710.13,116710.13,16183341.0,21290.870310459137,1753801778344,Synapse54,1753801778344,Synapse54
115,"G8A (Jonquiere, QC)",G8A,90950.07,90950.07,52092756.5,55678.19403946566,1753801778344,Synapse54,1753801778344,Synapse54
116,"G8B (Alma, QC)",G8B,82601.45,82601.45,297457310.0,211237.01895446505,1753801778344,Synapse54,1753801778344,Synapse54
117,"G8C (Alma, QC)",G8C,110475.04,110475.04,47590945.0,51183.77436174367,1753801778344,Synapse54,1753801778344,Synapse54
118,"G8E (Alma, QC)",G8E,96505.43,96505.43,198550679.5,111351.61663855895,1753801778344,Synapse54,1753801778344,Synapse54
119,"G8G (Metabetchouan-Lac-A-La-Croix, QC)",G8G,87759.65,87759.65,435537293.5,100773.33142038128,1753801778344,Synapse54,1753801778344,Synapse54
120,"G8H (Roberval, QC)",G8H,83013.08,83013.08,543189787.1757812,135904.14248114204,1753801778344,Synapse54,1753801778344,Synapse54
121,"G8J (Chicoutimi, QC)",G8J,85402.57,85402.57,2344096837.0,302744.5493028244,1753801778344,Synapse54,1753801778344,Synapse54
122,"G8K (Saint-Felicien, QC)",G8K,86143.79,86143.79,860422895.5,186957.39961478047,1753801778344,Synapse54,1753801778344,Synapse54
123,"G8L (Dolbeau-Mistassini, QC)",G8L,79752.1,79752.1,3537542888.8203125,527284.6001355818,1753801778344,Synapse54,1753801778344,Synapse54
124,"G8M (Normandin, QC)",G8M,86576.18,86576.18,1017813603.5,185656.56193391615,1753801778344,Synapse54,1753801778344,Synapse54
125,"G8N (Hebertville, QC)",G8N,91857.96,91857.96,473865737.0,121456.61747790436,1753801778344,Synapse54,1753801778344,Synapse54
126,"G8P (Chibougamau, QC)",G8P,97803.32,97803.32,2435879767.5,197043.63571528325,1753801778344,Synapse54,1753801778344,Synapse54
127,"G8T (Trois-Rivieres, QC)",G8T,72461.27,72461.27,53667241.0,76442.1934749919,1753801778344,Synapse54,1753801778344,Synapse54
128,"G8V (Trois-Rivieres, QC)",G8V,102151.87,102151.87,104632608.0,66015.1834431966,1753801778344,Synapse54,1753801778344,Synapse54
129,"G8W (Trois-Rivieres, QC)",G8W,96968.26,96968.26,128446737.0,76697.25349343411,1753801778344,Synapse54,1753801778344,Synapse54
130,"G8Y (Trois-Rivieres, QC)",G8Y,92502.12,92502.12,45724725.5,37933.330899285655,1753801778344,Synapse54,1753801778344,Synapse54
131,"G8Z (Trois-Rivieres, QC)",G8Z,63575.58,63575.58,16678138.0,22099.08240994394,1753801778344,Synapse54,1753801778344,Synapse54
132,"G9A (Trois-Rivieres, QC)",G9A,60129.97,60129.97,105086814.0,113245.62209754915,1753801778344,Synapse54,1753801778344,Synapse54
133,"G9B (Trois-Rivieres, QC)",G9B,112107.99,112107.99,216934834.5,89385.35803757486,1753801778344,Synapse54,1753801778344,Synapse54
134,"G9C (Trois-Rivieres, QC)",G9C,115588.53,115588.53,12875179.0,26201.339674832936,1753801778344,Synapse54,1753801778344,Synapse54
135,"G9H (Becancour, QC)",G9H,100802.21,100802.21,965246378.5,214717.67022828877,1753801778344,Synapse54,1753801778344,Synapse54
136,"G9N (Shawinigan, QC)",G9N,63112.74,63112.74,149583035.5,113854.1611209567,1753801778344,Synapse54,1753801778344,Synapse54
137,"G9P (Shawinigan, QC)",G9P,78264.25,78264.25,32510118.0,38949.97843748969,1753801778344,Synapse54,1753801778344,Synapse54
138,"G9R (Shawinigan, QC)",G9R,96362.16,96362.16,156430596.5,105284.31387222232,1753801778344,Synapse54,1753801778344,Synapse54
139,"G9T (Grand-Mere, QC)",G9T,71985.26,71985.26,175921560.5,90399.15322236488,1753801778344,Synapse54,1753801778344,Synapse54
140,"G9X (La Tuque, QC)",G9X,81153.78,81153.78,4798536478.5,388015.362952818,1753801778344,Synapse54,1753801778344,Synapse54
141,"H0M (Akwesasne, QC)",H0M,0.0,0.0,4195699.0,36371.52492841964,1753801778344,Synapse54,1753801778344,Synapse54
142,"H1A (Montreal, QC)",H1A,92445.56,92445.56,32047972.5,27217.161718354222,1753801778344,Synapse54,1753801778344,Synapse54
143,"H1B (Montreal, QC)",H1B,83922.58,83922.58,42382103.0,29920.24369847441,1753801778344,Synapse54,1753801778344,Synapse54
144,"H1C (Montreal, QC)",H1C,130722.68,130722.68,26679819.5,25870.587310829436,1753801778344,Synapse54,1753801778344,Synapse54
145,"H1E (Montreal, QC)",H1E,97477.89,97477.89,29995565.0,23264.2709841518,1753801778344,Synapse54,1753801778344,Synapse54
146,"H1G (Montreal, QC)",H1G,74018.65,74018.65,16132403.5,17322.15503203977,1753801778344,Synapse54,1753801778344,Synapse54
147,"H1H (Montreal, QC)",H1H,71038.62,71038.62,10210927.5,13709.108640935121,1753801778344,Synapse54,1753801778344,Synapse54
148,"H1J (Montreal, QC)",H1J,95689.24,95689.24,18502722.0,18581.449355666224,1753801778344,Synapse54,1753801778344,Synapse54
149,"H1K (Montreal, QC)",H1K,97188.02,97188.02,12667226.5,15052.99246391506,1753801778344,Synapse54,1753801778344,Synapse54
150,"H1L (Montreal, QC)",H1L,81181.19,81181.19,13596541.5,17573.19469361058,1753801778344,Synapse54,1753801778344,Synapse54
151,"H1M (Montreal, QC)",H1M,88367.13,88367.13,10690212.5,15457.65729265879,1753801778344,Synapse54,1753801778344,Synapse54
152,"H1N (Montreal, QC)",H1N,78073.82,78073.82,114734629.5,108616.9951420107,1753801778344,Synapse54,1753801778344,Synapse54
153,"H1P (Montreal, QC)",H1P,91406.02,91406.02,10601632.5,14342.38560083787,1753801778344,Synapse54,1753801778344,Synapse54
154,"H1R (Montreal, QC)",H1R,92387.44,92387.44,9518827.0,14180.86920094836,1753801778344,Synapse54,1753801778344,Synapse54
155,"H1S (Montreal, QC)",H1S,80226.68,80226.68,7438851.0,13261.062397135287,1753801778344,Synapse54,1753801778344,Synapse54
156,"H1T (Montreal, QC)",H1T,85093.14,85093.14,8407123.5,15836.037610683787,1753801778344,Synapse54,1753801778344,Synapse54
157,"H1V (Montreal, QC)",H1V,81632.2,81632.2,6852649.0,10988.833869692491,1753801778344,Synapse54,1753801778344,Synapse54
158,"H1W (Montreal, QC)",H1W,77920.77,77920.77,6100526.0,11263.239274717751,1753801778344,Synapse54,1753801778344,Synapse54
159,"H1X (Montreal, QC)",H1X,82601.34,82601.34,8450164.0,13619.608619583656,1753801778344,Synapse54,1753801778344,Synapse54
160,"H1Y (Montreal, QC)",H1Y,95764.66,95764.66,5352874.0,10916.549919811729,1753801778344,Synapse54,1753801778344,Synapse54
161,"H1Z (Montreal, QC)",H1Z,68925.13,68925.13,14307589.5,14883.881987328181,1753801778344,Synapse54,1753801778344,Synapse54
162,"H2A (Montreal, QC)",H2A,69918.2,69918.2,4232942.0,8758.55230005682,1753801778344,Synapse54,1753801778344,Synapse54
163,"H2B (Montreal, QC)",H2B,81837.98,81837.98,5947505.5,9676.70118562271,1753801778344,Synapse54,1753801778344,Synapse54
164,"H2C (Montreal, QC)",H2C,98243.07,98243.07,5556278.0,9971.926462140602,1753801778344,Synapse54,1753801778344,Synapse54
165,"H2E (Montreal, QC)",H2E,75377.21,75377.21,3830518.5,8073.841629300861,1753801778344,Synapse54,1753801778344,Synapse54
166,"H2G (Montreal, QC)",H2G,88085.99,88085.99,4217958.5,9248.80721597901,1753801778344,Synapse54,1753801778344,Synapse54
167,"H2H (Montreal, QC)",H2H,93561.03,93561.03,2682198.0,6982.709947140798,1753801778344,Synapse54,1753801778344,Synapse54
168,"H2J (Montreal, QC)",H2J,104857.37,104857.37,3975815.0,8085.511309426667,1753801778344,Synapse54,1753801778344,Synapse54
169,"H2K (Montreal, QC)",H2K,75521.98,75521.98,5762510.0,9775.787359183401,1753801778344,Synapse54,1753801778344,Synapse54
170,"H2L (Montreal, QC)",H2L,85733.41,85733.41,5652250.0,10530.305700195246,1753801778344,Synapse54,1753801778344,Synapse54
171,"H2M (Montreal, QC)",H2M,91100.27,91100.27,6840427.0,11504.156734199103,1753801778344,Synapse54,1753801778344,Synapse54
172,"H2N (Montreal, QC)",H2N,76227.6,76227.6,2336770.0,6414.770804238481,1753801778344,Synapse54,1753801778344,Synapse54
173,"H2P (Montreal, QC)",H2P,94946.56,94946.56,3440041.0,8481.97690702558,1753801778344,Synapse54,1753801778344,Synapse54
174,"H2R (Montreal, QC)",H2R,97224.77,97224.77,4573627.0,8588.564684485442,1753801778344,Synapse54,1753801778344,Synapse54
175,"H2S (Montreal, QC)",H2S,96424.98,96424.98,5062352.5,9483.95666520098,1753801778344,Synapse54,1753801778344,Synapse54
176,"H2T (Montreal, QC)",H2T,97434.61,97434.61,2792933.0,7309.603445409373,1753801778344,Synapse54,1753801778344,Synapse54
177,"H2V (Montreal, QC)",H2V,189106.7,189106.7,9406781.5,15649.479624539856,1753801778344,Synapse54,1753801778344,Synapse54
178,"H2W (Montreal, QC)",H2W,91209.65,91209.65,2122029.5,6886.736160398394,1753801778344,Synapse54,1753801778344,Synapse54
179,"H2X (Montreal, QC)",H2X,67259.06,67259.06,3260860.5,9016.990098210114,1753801778344,Synapse54,1753801778344,Synapse54
180,"H2Y (Montreal, QC)",H2Y,156238.65,156238.65,1658875.0,7811.331119881591,1753801778344,Synapse54,1753801778344,Synapse54
181,"H2Z (Montreal, QC)",H2Z,104080.22,104080.22,598367.5,3228.1201023826216,1753801778344,Synapse54,1753801778344,Synapse54
182,"H3A (Montreal, QC)",H3A,86191.3,86191.3,1952640.0,8051.6260641867375,1753801778344,Synapse54,1753801778344,Synapse54
183,"H3B (Montreal, QC)",H3B,81929.43,81929.43,927950.0,5036.520981944944,1753801778344,Synapse54,1753801778344,Synapse54
184,"H3C (Montreal, QC)",H3C,114383.95,114383.95,17209727.0,33681.90517416176,1753801778344,Synapse54,1753801778344,Synapse54
185,"H3E (Montreal, QC)",H3E,169712.63,169712.63,9825716.5,14615.034290309737,1753801778344,Synapse54,1753801778344,Synapse54
186,"H3G (Montreal, QC)",H3G,113659.36,113659.36,2139910.0,8520.81981818768,1753801778344,Synapse54,1753801778344,Synapse54
187,"H3H (Montreal, QC)",H3H,79057.74,79057.74,5138945.5,17420.06994824536,1753801778344,Synapse54,1753801778344,Synapse54
188,"H3J (Montreal, QC)",H3J,115149.1,115149.1,2674031.0,6742.466153977455,1753801778344,Synapse54,1753801778344,Synapse54
189,"H3K (Montreal, QC)",H3K,102996.23,102996.23,6571158.0,11318.657050191392,1753801778344,Synapse54,1753801778344,Synapse54
190,"H3L (Montreal, QC)",H3L,102824.63,102824.63,8682987.0,13055.356607199148,1753801778344,Synapse54,1753801778344,Synapse54
191,"H3M (Montreal, QC)",H3M,94083.38,94083.38,5900605.5,11105.82837103115,1753801778344,Synapse54,1753801778344,Synapse54
192,"H3N (Montreal, QC)",H3N,63368.88,63368.88,3362662.5,8891.918324885475,1753801778344,Synapse54,1753801778344,Synapse54
193,"H3P (Montreal, QC)",H3P,227295.0,227295.0,5651704.5,9798.453260458433,1753801778344,Synapse54,1753801778344,Synapse54
194,"H3R (Montreal, QC)",H3R,271387.91,271387.91,5400500.0,9553.23690396402,1753801778344,Synapse54,1753801778344,Synapse54
195,"H3S (Montreal, QC)",H3S,82259.68,82259.68,5351564.5,9656.774003388971,1753801778344,Synapse54,1753801778344,Synapse54
196,"H3T (Montreal, QC)",H3T,79407.33,79407.33,3607516.5,8899.065890536858,1753801778344,Synapse54,1753801778344,Synapse54
197,"H3V (Montreal, QC)",H3V,74005.33,74005.33,3676769.0,9340.08432806038,1753801778344,Synapse54,1753801778344,Synapse54
