OBJECTID,DESCRIPTION,ID,P0YTENRENT,P0YTENRENT_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
24,"G1G (Quebec, QC)",G1G,4236,35.07,35.07,23261499.5,21244.010790424363,1753799975476,Synapse54,1753799975476,Synapse54
25,"G1H (Quebec, QC)",G1H,10098,63.67,63.67,17070653.5,16728.070206687444,1753799975476,Synapse54,1753799975476,Synapse54
26,"G1J (Quebec, QC)",G1J,11176,79.76,79.76,15486417.5,18318.282612942763,1753799975476,Synapse54,1753799975476,Synapse54
27,"G1K (Quebec, QC)",G1K,8998,74.68,74.68,9532326.5,27604.32226056824,1753799975476,Synapse54,1753799975476,Synapse54
28,"G1L (Quebec, QC)",G1L,11053,80.95,80.95,8545974.0,13500.51656374446,1753799975476,Synapse54,1753799975476,Synapse54
29,"G1M (Quebec, QC)",G1M,7983,70.56,70.56,17720734.5,19033.029965482125,1753799975476,Synapse54,1753799975476,Synapse54
30,"G1N (Quebec, QC)",G1N,4815,79.39,79.39,13120575.0,20830.816804197915,1753799975476,Synapse54,1753799975476,Synapse54
31,"G1P (Quebec, QC)",G1P,4972,58.74,58.74,23560383.5,22665.24353657779,1753799975476,Synapse54,1753799975476,Synapse54
32,"G1R (Quebec, QC)",G1R,7841,73.91,73.91,6291861.0,12661.880571938687,1753799975476,Synapse54,1753799975476,Synapse54
33,"G1S (Quebec, QC)",G1S,8618,57.86,57.86,11216915.28125,15661.567182113036,1753799975476,Synapse54,1753799975476,Synapse54
34,"G1T (Quebec, QC)",G1T,709,23.06,23.06,7077771.5,17602.81541790566,1753799975476,Synapse54,1753799975476,Synapse54
35,"G1V (Quebec, QC)",G1V,10689,77.79,77.79,15730102.0,17979.112647239195,1753799975476,Synapse54,1753799975476,Synapse54
36,"G1W (Quebec, QC)",G1W,5424,47.62,47.62,17198639.5,21801.94208985731,1753799975476,Synapse54,1753799975476,Synapse54
37,"G1X (Quebec, QC)",G1X,7728,54.76,54.76,27103326.0,27337.079999136095,1753799975476,Synapse54,1753799975476,Synapse54
38,"G1Y (Quebec, QC)",G1Y,1287,21.38,21.38,14262450.5,17939.63034370007,1753799975476,Synapse54,1753799975476,Synapse54
39,"G2A (Quebec, QC)",G2A,2932,33.16,33.16,47271562.5,46123.605864486206,1753799975476,Synapse54,1753799975476,Synapse54
40,"G2B (Quebec, QC)",G2B,5211,44.19,44.19,24328924.5,22475.77399457994,1753799975476,Synapse54,1753799975476,Synapse54
41,"G2C (Quebec, QC)",G2C,3158,48.48,48.48,18432837.5,23131.360190110616,1753799975476,Synapse54,1753799975476,Synapse54
42,"G2E (Quebec, QC)",G2E,2926,29.43,29.43,27707972.5,23903.30796073271,1753799975476,Synapse54,1753799975476,Synapse54
43,"G2G (Quebec, QC)",G2G,1151,22.51,22.51,101799470.5,45275.85044604026,1753799975476,Synapse54,1753799975476,Synapse54
44,"G2J (Quebec, QC)",G2J,1173,63.54,63.54,5412144.5,9862.14108739791,1753799975476,Synapse54,1753799975476,Synapse54
45,"G2K (Quebec, QC)",G2K,3565,46.44,46.44,30349819.5,31745.12588440936,1753799975476,Synapse54,1753799975476,Synapse54
46,"G2L (Quebec, QC)",G2L,2190,31.01,31.01,25127554.5,22805.966601331882,1753799975476,Synapse54,1753799975476,Synapse54
47,"G2M (Quebec, QC)",G2M,547,21.19,21.19,44779584.0,34604.08492657024,1753799975476,Synapse54,1753799975476,Synapse54
48,"G2N (Quebec, QC)",G2N,785,20.84,20.84,31035228.5,31796.238354131285,1753799975476,Synapse54,1753799975476,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,2258,23.52,23.52,188876871.0,74472.4753726992,1753799975476,Synapse54,1753799975476,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,570,14.19,14.19,139197319.5,64423.23371099803,1753799975476,Synapse54,1753799975476,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,732,13.32,13.32,1330849498.5,175874.56931808186,1753799975476,Synapse54,1753799975476,Synapse54
52,"G3E (Quebec, QC)",G3E,1331,20.41,20.41,18489209.0,20620.301807363456,1753799975476,Synapse54,1753799975476,Synapse54
53,"G3G (Quebec, QC)",G3G,606,13.55,13.55,83002473.0,53192.861834286385,1753799975476,Synapse54,1753799975476,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,1303,25.39,25.39,279179695.0,100842.62742278028,1753799975476,Synapse54,1753799975476,Synapse54
55,"G3J (Quebec, QC)",G3J,1555,31.88,31.88,85589532.0,54640.87343863765,1753799975476,Synapse54,1753799975476,Synapse54
56,"G3K (Quebec, QC)",G3K,2723,30.07,30.07,66926850.0,43417.9629367511,1753799975476,Synapse54,1753799975476,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,1345,22.99,22.99,2499240685.5,293711.66523440205,1753799975476,Synapse54,1753799975476,Synapse54
58,"G3M (Donnacona, QC)",G3M,1410,36.37,36.37,76895468.5,38932.06578942634,1753799975476,Synapse54,1753799975476,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,896,16.34,16.34,179093818.5,91193.27748891739,1753799975476,Synapse54,1753799975476,Synapse54
60,"G3S (Quebec, QC)",G3S,779,24.85,24.85,162242772.5,88360.35793053103,1753799975476,Synapse54,1753799975476,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,1566,42.27,42.27,1221045873.0,165284.53951195258,1753799975476,Synapse54,1753799975476,Synapse54
62,"G4A (Clermont, QC)",G4A,505,33.6,33.6,1226794529.0,167560.43929327332,1753799975476,Synapse54,1753799975476,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,3477,39.5,39.5,1888740693.0195312,364416.3918226564,1753799975476,Synapse54,1753799975476,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,354,17.28,17.28,13736729.5,31952.335224803264,1753799975476,Synapse54,1753799975476,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,1656,26.06,26.06,500054815.0,511013.5871236407,1753799975476,Synapse54,1753799975476,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,1070,35.01,35.01,780273522.0,168670.12216022852,1753799975476,Synapse54,1753799975476,Synapse54
67,"G4W (Matane, QC)",G4W,3234,44.99,44.99,466220652.0,100520.51806568402,1753799975476,Synapse54,1753799975476,Synapse54
68,"G4X (Gaspe, QC)",G4X,2168,30.35,30.35,2615126201.546875,406673.89112098655,1753799975476,Synapse54,1753799975476,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,1133,27.92,27.92,1669244051.0,336717.80497552885,1753799975476,Synapse54,1753799975476,Synapse54
70,"G5A (La Malbaie, QC)",G5A,1388,35.4,35.4,905867526.5,176911.55690727945,1753799975476,Synapse54,1753799975476,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,794,30.13,30.13,742256392.5,203831.72178845698,1753799975476,Synapse54,1753799975476,Synapse54
72,"G5C (Baie-Comeau, QC)",G5C,1831,37.57,37.57,78061848.0,48691.63220890317,1753799975476,Synapse54,1753799975476,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,1401,42.52,42.52,128376656.5,53923.191144203476,1753799975476,Synapse54,1753799975476,Synapse54
74,"G5J (Amqui, QC)",G5J,985,33.97,33.97,310530648.5,97437.56642828621,1753799975476,Synapse54,1753799975476,Synapse54
75,"G5L (Rimouski, QC)",G5L,8010,52.36,52.36,115966883.0,88926.49071239203,1753799975476,Synapse54,1753799975476,Synapse54
76,"G5M (Rimouski, QC)",G5M,1057,25.43,25.43,66332097.0,52169.63739391678,1753799975476,Synapse54,1753799975476,Synapse54
77,"G5N (Rimouski, QC)",G5N,565,14.98,14.98,414167429.0,104413.83144964176,1753799975476,Synapse54,1753799975476,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,4877,48.11,48.11,182737573.0,77061.18159356514,1753799975476,Synapse54,1753799975476,Synapse54
79,"G5T (Degelis, QC)",G5T,496,36.26,36.26,1107888892.0,146757.59518407704,1753799975476,Synapse54,1753799975476,Synapse54
80,"G5V (Montmagny, QC)",G5V,2582,46.36,46.36,282245095.0,82682.88684580137,1753799975476,Synapse54,1753799975476,Synapse54
81,"G5X (Beauceville, QC)",G5X,894,31.96,31.96,336857190.0,91090.00846556539,1753799975476,Synapse54,1753799975476,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,5532,45.16,45.16,169548327.0,148240.89990521545,1753799975476,Synapse54,1753799975476,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,1064,31.11,31.11,219710089.0,133870.3845435117,1753799975476,Synapse54,1753799975476,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,213,23.83,23.83,12731588.0,28099.846637013223,1753799975476,Synapse54,1753799975476,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,1750,41.95,41.95,525968305.0,147830.6226949515,1753799975476,Synapse54,1753799975476,Synapse54
86,"G6C (Pintendre, QC)",G6C,1560,39.47,39.47,171728656.5,62758.50767570228,1753799975476,Synapse54,1753799975476,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,1797,30.08,30.08,242749292.5,88129.38426536831,1753799975476,Synapse54,1753799975476,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,3953,39.05,39.05,432553661.5,137866.85051543516,1753799975476,Synapse54,1753799975476,Synapse54
89,"G6H (Thetford Mines, QC)",G6H,717,22.38,22.38,381525955.5,208711.52055490302,1753799975476,Synapse54,1753799975476,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,1223,24.29,24.29,170941088.5,68005.84099520143,1753799975476,Synapse54,1753799975476,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,558,15.94,15.94,8847420.0,13869.752401834681,1753799975476,Synapse54,1753799975476,Synapse54
92,"G6L (Plessisville, QC)",G6L,2752,36.33,36.33,727703425.5,150480.86599396955,1753799975476,Synapse54,1753799975476,Synapse54
93,"G6P (Victoriaville, QC)",G6P,8246,52.29,52.29,43162857.0,67077.33804588739,1753799975476,Synapse54,1753799975476,Synapse54
94,"G6R (Victoriaville, QC)",G6R,276,14.32,14.32,111890007.5,67049.5189257073,1753799975476,Synapse54,1753799975476,Synapse54
95,"G6S (Victoriaville, QC)",G6S,733,30.0,30.0,93883157.5,65606.32420350032,1753799975476,Synapse54,1753799975476,Synapse54
96,"G6T (Victoriaville, QC)",G6T,1422,28.18,28.18,97646146.0,79862.46403678902,1753799975476,Synapse54,1753799975476,Synapse54
97,"G6V (Levis, QC)",G6V,9708,53.9,53.9,51005706.5,85820.66591178898,1753799975476,Synapse54,1753799975476,Synapse54
98,"G6W (Levis, QC)",G6W,6713,49.55,49.55,54365583.5,57031.8227070878,1753799975476,Synapse54,1753799975476,Synapse54
99,"G6X (Levis, QC)",G6X,2411,47.0,47.0,17532207.0,18566.178953389182,1753799975476,Synapse54,1753799975476,Synapse54
100,"G6Y (Levis, QC)",G6Y,1592,41.71,41.71,48673784.5,36076.08982567784,1753799975476,Synapse54,1753799975476,Synapse54
101,"G6Z (Saint-Jean-Chrysostome, QC)",G6Z,1889,17.8,17.8,206313300.5,81637.94553350794,1753799975476,Synapse54,1753799975476,Synapse54
102,"G7A (Saint-Nicolas, QC)",G7A,3558,29.5,29.5,206385794.0,76585.07395132218,1753799975476,Synapse54,1753799975476,Synapse54
103,"G7B (La Baie, QC)",G7B,3532,41.06,41.06,731098795.5,122236.04683671948,1753799975476,Synapse54,1753799975476,Synapse54
104,"G7G (Chicoutimi, QC)",G7G,2262,30.43,30.43,83451590.0,72026.82978856695,1753799975476,Synapse54,1753799975476,Synapse54
105,"G7H (Chicoutimi, QC)",G7H,7461,50.39,50.39,335780132.5,155297.87503251838,1753799975476,Synapse54,1753799975476,Synapse54
106,"G7J (Chicoutimi, QC)",G7J,2987,43.65,43.65,48516569.0,31553.718168111947,1753799975476,Synapse54,1753799975476,Synapse54
107,"G7K (Chicoutimi, QC)",G7K,100,27.32,27.32,13787400.5,25129.491914885974,1753799975476,Synapse54,1753799975476,Synapse54
108,"G7N (Laterriere, QC)",G7N,398,14.86,14.86,572266521.5,131134.86527943268,1753799975476,Synapse54,1753799975476,Synapse54
109,"G7P (Chicoutimi, QC)",G7P,548,16.39,16.39,535052258.5,133662.40227307807,1753799975476,Synapse54,1753799975476,Synapse54
110,"G7S (Jonquiere, QC)",G7S,2153,24.94,24.94,90965725.5,53543.07738017431,1753799975476,Synapse54,1753799975476,Synapse54
111,"G7T (Jonquiere, QC)",G7T,319,39.14,39.14,11024436.0,23113.794147733155,1753799975476,Synapse54,1753799975476,Synapse54
112,"G7X (Jonquiere, QC)",G7X,6619,50.57,50.57,675028246.5,279259.2165036962,1753799975476,Synapse54,1753799975476,Synapse54
113,"G7Y (Jonquiere, QC)",G7Y,116,38.41,38.41,28364189.0,37375.76013155794,1753799975476,Synapse54,1753799975476,Synapse54
114,"G7Z (Jonquiere, QC)",G7Z,176,16.06,16.06,16183341.0,21290.870310459137,1753799975476,Synapse54,1753799975476,Synapse54
115,"G8A (Jonquiere, QC)",G8A,1242,42.9,42.9,52092756.5,55678.19403946566,1753799975476,Synapse54,1753799975476,Synapse54
116,"G8B (Alma, QC)",G8B,4132,40.46,40.46,297457310.0,211237.01895446505,1753799975476,Synapse54,1753799975476,Synapse54
117,"G8C (Alma, QC)",G8C,498,21.45,21.45,47590945.0,51183.77436174367,1753799975476,Synapse54,1753799975476,Synapse54
118,"G8E (Alma, QC)",G8E,424,24.78,24.78,198550679.5,111351.61663855895,1753799975476,Synapse54,1753799975476,Synapse54
119,"G8G (Metabetchouan-Lac-A-La-Croix, QC)",G8G,418,21.8,21.8,435537293.5,100773.33142038128,1753799975476,Synapse54,1753799975476,Synapse54
120,"G8H (Roberval, QC)",G8H,1482,31.09,31.09,543189787.1757812,135904.14248114204,1753799975476,Synapse54,1753799975476,Synapse54
121,"G8J (Chicoutimi, QC)",G8J,381,20.68,20.68,2344096837.0,302744.5493028244,1753799975476,Synapse54,1753799975476,Synapse54
122,"G8K (Saint-Felicien, QC)",G8K,1397,29.01,29.01,860422895.5,186957.39961478047,1753799975476,Synapse54,1753799975476,Synapse54
123,"G8L (Dolbeau-Mistassini, QC)",G8L,2203,34.62,34.62,3537542888.8203125,527284.6001355818,1753799975476,Synapse54,1753799975476,Synapse54
124,"G8M (Normandin, QC)",G8M,399,18.0,18.0,1017813603.5,185656.56193391615,1753799975476,Synapse54,1753799975476,Synapse54
125,"G8N (Hebertville, QC)",G8N,240,21.68,21.68,473865737.0,121456.61747790436,1753799975476,Synapse54,1753799975476,Synapse54
126,"G8P (Chibougamau, QC)",G8P,1015,30.54,30.54,2435879767.5,197043.63571528325,1753799975476,Synapse54,1753799975476,Synapse54
127,"G8T (Trois-Rivieres, QC)",G8T,7187,49.0,49.0,53667241.0,76442.1934749919,1753799975476,Synapse54,1753799975476,Synapse54
128,"G8V (Trois-Rivieres, QC)",G8V,1360,27.3,27.3,104632608.0,66015.1834431966,1753799975476,Synapse54,1753799975476,Synapse54
129,"G8W (Trois-Rivieres, QC)",G8W,1891,35.35,35.35,128446737.0,76697.25349343411,1753799975476,Synapse54,1753799975476,Synapse54
130,"G8Y (Trois-Rivieres, QC)",G8Y,7349,42.7,42.7,45724725.5,37933.330899285655,1753799975476,Synapse54,1753799975476,Synapse54
131,"G8Z (Trois-Rivieres, QC)",G8Z,5727,72.74,72.74,16678138.0,22099.08240994394,1753799975476,Synapse54,1753799975476,Synapse54
132,"G9A (Trois-Rivieres, QC)",G9A,9146,72.36,72.36,105086814.0,113245.62209754915,1753799975476,Synapse54,1753799975476,Synapse54
133,"G9B (Trois-Rivieres, QC)",G9B,2386,26.08,26.08,216934834.5,89385.35803757486,1753799975476,Synapse54,1753799975476,Synapse54
134,"G9C (Trois-Rivieres, QC)",G9C,194,10.44,10.44,12875179.0,26201.339674832936,1753799975476,Synapse54,1753799975476,Synapse54
135,"G9H (Becancour, QC)",G9H,1913,25.44,25.44,965246378.5,214717.67022828877,1753799975476,Synapse54,1753799975476,Synapse54
136,"G9N (Shawinigan, QC)",G9N,5605,59.69,59.69,149583035.5,113854.1611209567,1753799975476,Synapse54,1753799975476,Synapse54
137,"G9P (Shawinigan, QC)",G9P,2562,41.91,41.91,32510118.0,38949.97843748969,1753799975476,Synapse54,1753799975476,Synapse54
138,"G9R (Shawinigan, QC)",G9R,197,15.8,15.8,156430596.5,105284.31387222232,1753799975476,Synapse54,1753799975476,Synapse54
139,"G9T (Grand-Mere, QC)",G9T,3628,40.45,40.45,175921560.5,90399.15322236488,1753799975476,Synapse54,1753799975476,Synapse54
140,"G9X (La Tuque, QC)",G9X,1613,31.39,31.39,4798536478.5,388015.362952818,1753799975476,Synapse54,1753799975476,Synapse54
141,"H0M (Akwesasne, QC)",H0M,0,0.0,0.0,4195699.0,36371.52492841964,1753799975476,Synapse54,1753799975476,Synapse54
142,"H1A (Montreal, QC)",H1A,6728,43.01,43.01,32047972.5,27217.161718354222,1753799975476,Synapse54,1753799975476,Synapse54
143,"H1B (Montreal, QC)",H1B,5350,57.59,57.59,42382103.0,29920.24369847441,1753799975476,Synapse54,1753799975476,Synapse54
144,"H1C (Montreal, QC)",H1C,914,17.53,17.53,26679819.5,25870.587310829436,1753799975476,Synapse54,1753799975476,Synapse54
145,"H1E (Montreal, QC)",H1E,6988,39.69,39.69,29995565.0,23264.2709841518,1753799975476,Synapse54,1753799975476,Synapse54
146,"H1G (Montreal, QC)",H1G,15444,72.72,72.72,16132403.5,17322.15503203977,1753799975476,Synapse54,1753799975476,Synapse54
147,"H1H (Montreal, QC)",H1H,12180,71.96,71.96,10210927.5,13709.108640935121,1753799975476,Synapse54,1753799975476,Synapse54
148,"H1J (Montreal, QC)",H1J,2549,52.83,52.83,18502722.0,18581.449355666224,1753799975476,Synapse54,1753799975476,Synapse54
149,"H1K (Montreal, QC)",H1K,9129,57.43,57.43,12667226.5,15052.99246391506,1753799975476,Synapse54,1753799975476,Synapse54
150,"H1L (Montreal, QC)",H1L,10752,62.8,62.8,13596541.5,17573.19469361058,1753799975476,Synapse54,1753799975476,Synapse54
151,"H1M (Montreal, QC)",H1M,8749,61.05,61.05,10690212.5,15457.65729265879,1753799975476,Synapse54,1753799975476,Synapse54
152,"H1N (Montreal, QC)",H1N,8651,69.87,69.87,114734629.5,108616.9951420107,1753799975476,Synapse54,1753799975476,Synapse54
153,"H1P (Montreal, QC)",H1P,4667,60.95,60.95,10601632.5,14342.38560083787,1753799975476,Synapse54,1753799975476,Synapse54
154,"H1R (Montreal, QC)",H1R,7985,65.62,65.62,9518827.0,14180.86920094836,1753799975476,Synapse54,1753799975476,Synapse54
155,"H1S (Montreal, QC)",H1S,7949,69.07,69.07,7438851.0,13261.062397135287,1753799975476,Synapse54,1753799975476,Synapse54
156,"H1T (Montreal, QC)",H1T,11005,68.5,68.5,8407123.5,15836.037610683787,1753799975476,Synapse54,1753799975476,Synapse54
157,"H1V (Montreal, QC)",H1V,8573,69.17,69.17,6852649.0,10988.833869692491,1753799975476,Synapse54,1753799975476,Synapse54
158,"H1W (Montreal, QC)",H1W,13480,73.38,73.38,6100526.0,11263.239274717751,1753799975476,Synapse54,1753799975476,Synapse54
159,"H1X (Montreal, QC)",H1X,11571,71.13,71.13,8450164.0,13619.608619583656,1753799975476,Synapse54,1753799975476,Synapse54
160,"H1Y (Montreal, QC)",H1Y,10092,65.04,65.04,5352874.0,10916.549919811729,1753799975476,Synapse54,1753799975476,Synapse54
161,"H1Z (Montreal, QC)",H1Z,11077,75.34,75.34,14307589.5,14883.881987328181,1753799975476,Synapse54,1753799975476,Synapse54
162,"H2A (Montreal, QC)",H2A,7013,71.39,71.39,4232942.0,8758.55230005682,1753799975476,Synapse54,1753799975476,Synapse54
163,"H2B (Montreal, QC)",H2B,5608,65.77,65.77,5947505.5,9676.70118562271,1753799975476,Synapse54,1753799975476,Synapse54
164,"H2C (Montreal, QC)",H2C,6250,65.84,65.84,5556278.0,9971.926462140602,1753799975476,Synapse54,1753799975476,Synapse54
165,"H2E (Montreal, QC)",H2E,8658,74.61,74.61,3830518.5,8073.841629300861,1753799975476,Synapse54,1753799975476,Synapse54
166,"H2G (Montreal, QC)",H2G,7852,69.18,69.18,4217958.5,9248.80721597901,1753799975476,Synapse54,1753799975476,Synapse54
167,"H2H (Montreal, QC)",H2H,5058,69.93,69.93,2682198.0,6982.709947140798,1753799975476,Synapse54,1753799975476,Synapse54
168,"H2J (Montreal, QC)",H2J,10012,67.06,67.06,3975815.0,8085.511309426667,1753799975476,Synapse54,1753799975476,Synapse54
169,"H2K (Montreal, QC)",H2K,13743,77.0,77.0,5762510.0,9775.787359183401,1753799975476,Synapse54,1753799975476,Synapse54
170,"H2L (Montreal, QC)",H2L,12663,71.91,71.91,5652250.0,10530.305700195246,1753799975476,Synapse54,1753799975476,Synapse54
171,"H2M (Montreal, QC)",H2M,5826,61.17,61.17,6840427.0,11504.156734199103,1753799975476,Synapse54,1753799975476,Synapse54
172,"H2N (Montreal, QC)",H2N,1824,63.03,63.03,2336770.0,6414.770804238481,1753799975476,Synapse54,1753799975476,Synapse54
173,"H2P (Montreal, QC)",H2P,5125,67.03,67.03,3440041.0,8481.97690702558,1753799975476,Synapse54,1753799975476,Synapse54
174,"H2R (Montreal, QC)",H2R,8820,67.86,67.86,4573627.0,8588.564684485442,1753799975476,Synapse54,1753799975476,Synapse54
175,"H2S (Montreal, QC)",H2S,11248,69.12,69.12,5062352.5,9483.95666520098,1753799975476,Synapse54,1753799975476,Synapse54
176,"H2T (Montreal, QC)",H2T,6518,68.21,68.21,2792933.0,7309.603445409373,1753799975476,Synapse54,1753799975476,Synapse54
177,"H2V (Montreal, QC)",H2V,7014,52.61,52.61,9406781.5,15649.479624539856,1753799975476,Synapse54,1753799975476,Synapse54
178,"H2W (Montreal, QC)",H2W,4495,71.49,71.49,2122029.5,6886.736160398394,1753799975476,Synapse54,1753799975476,Synapse54
179,"H2X (Montreal, QC)",H2X,12528,83.49,83.49,3260860.5,9016.990098210114,1753799975476,Synapse54,1753799975476,Synapse54
180,"H2Y (Montreal, QC)",H2Y,1294,47.45,47.45,1658875.0,7811.331119881591,1753799975476,Synapse54,1753799975476,Synapse54
181,"H2Z (Montreal, QC)",H2Z,2396,83.92,83.92,598367.5,3228.1201023826216,1753799975476,Synapse54,1753799975476,Synapse54
182,"H3A (Montreal, QC)",H3A,2572,72.55,72.55,1952640.0,8051.6260641867375,1753799975476,Synapse54,1753799975476,Synapse54
183,"H3B (Montreal, QC)",H3B,1162,70.94,70.94,927950.0,5036.520981944944,1753799975476,Synapse54,1753799975476,Synapse54
184,"H3C (Montreal, QC)",H3C,8858,60.53,60.53,17209727.0,33681.90517416176,1753799975476,Synapse54,1753799975476,Synapse54
185,"H3E (Montreal, QC)",H3E,5083,44.4,44.4,9825716.5,14615.034290309737,1753799975476,Synapse54,1753799975476,Synapse54
186,"H3G (Montreal, QC)",H3G,6163,69.36,69.36,2139910.0,8520.81981818768,1753799975476,Synapse54,1753799975476,Synapse54
187,"H3H (Montreal, QC)",H3H,11092,82.3,82.3,5138945.5,17420.06994824536,1753799975476,Synapse54,1753799975476,Synapse54
188,"H3J (Montreal, QC)",H3J,4291,64.83,64.83,2674031.0,6742.466153977455,1753799975476,Synapse54,1753799975476,Synapse54
189,"H3K (Montreal, QC)",H3K,5271,64.59,64.59,6571158.0,11318.657050191392,1753799975476,Synapse54,1753799975476,Synapse54
190,"H3L (Montreal, QC)",H3L,6912,66.16,66.16,8682987.0,13055.356607199148,1753799975476,Synapse54,1753799975476,Synapse54
191,"H3M (Montreal, QC)",H3M,3438,57.3,57.3,5900605.5,11105.82837103115,1753799975476,Synapse54,1753799975476,Synapse54
192,"H3N (Montreal, QC)",H3N,10487,81.07,81.07,3362662.5,8891.918324885475,1753799975476,Synapse54,1753799975476,Synapse54
193,"H3P (Montreal, QC)",H3P,1384,35.12,35.12,5651704.5,9798.453260458433,1753799975476,Synapse54,1753799975476,Synapse54
194,"H3R (Montreal, QC)",H3R,1660,41.89,41.89,5400500.0,9553.23690396402,1753799975476,Synapse54,1753799975476,Synapse54
