OBJECTID,DESCRIPTION,ID,ECYCDOCO,ECYCDOCO_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
29,"G1M (Quebec, QC)",G1M,2491,23.02,23.02,17720734.5,19033.029965482125,1753800183770,Synapse54,1753800183770,Synapse54
30,"G1N (Quebec, QC)",G1N,631,10.95,10.95,13120575.0,20830.816804197915,1753800183770,Synapse54,1753800183770,Synapse54
31,"G1P (Quebec, QC)",G1P,702,8.66,8.66,23560383.5,22665.24353657779,1753800183770,Synapse54,1753800183770,Synapse54
32,"G1R (Quebec, QC)",G1R,2986,28.38,28.38,6291861.0,12661.880571938687,1753800183770,Synapse54,1753800183770,Synapse54
33,"G1S (Quebec, QC)",G1S,5055,35.01,35.01,11216915.28125,15661.567182113036,1753800183770,Synapse54,1753800183770,Synapse54
34,"G1T (Quebec, QC)",G1T,547,18.82,18.82,7077771.5,17602.81541790566,1753800183770,Synapse54,1753800183770,Synapse54
35,"G1V (Quebec, QC)",G1V,3747,28.59,28.59,15730102.0,17979.112647239195,1753800183770,Synapse54,1753800183770,Synapse54
36,"G1W (Quebec, QC)",G1W,2583,23.2,23.2,17198639.5,21801.94208985731,1753800183770,Synapse54,1753800183770,Synapse54
37,"G1X (Quebec, QC)",G1X,2976,21.85,21.85,27103326.0,27337.079999136095,1753800183770,Synapse54,1753800183770,Synapse54
38,"G1Y (Quebec, QC)",G1Y,595,10.31,10.31,14262450.5,17939.63034370007,1753800183770,Synapse54,1753800183770,Synapse54
39,"G2A (Quebec, QC)",G2A,808,9.58,9.58,47271562.5,46123.605864486206,1753800183770,Synapse54,1753800183770,Synapse54
40,"G2B (Quebec, QC)",G2B,1068,9.37,9.37,24328924.5,22475.77399457994,1753800183770,Synapse54,1753800183770,Synapse54
41,"G2C (Quebec, QC)",G2C,2047,32.86,32.86,18432837.5,23131.360190110616,1753800183770,Synapse54,1753800183770,Synapse54
42,"G2E (Quebec, QC)",G2E,661,6.86,6.86,27707972.5,23903.30796073271,1753800183770,Synapse54,1753800183770,Synapse54
43,"G2G (Quebec, QC)",G2G,690,14.27,14.27,101799470.5,45275.85044604026,1753800183770,Synapse54,1753800183770,Synapse54
44,"G2J (Quebec, QC)",G2J,810,45.74,45.74,5412144.5,9862.14108739791,1753800183770,Synapse54,1753800183770,Synapse54
45,"G2K (Quebec, QC)",G2K,2943,40.45,40.45,30349819.5,31745.12588440936,1753800183770,Synapse54,1753800183770,Synapse54
46,"G2L (Quebec, QC)",G2L,1905,27.93,27.93,25127554.5,22805.966601331882,1753800183770,Synapse54,1753800183770,Synapse54
47,"G2M (Quebec, QC)",G2M,351,14.18,14.18,44779584.0,34604.08492657024,1753800183770,Synapse54,1753800183770,Synapse54
48,"G2N (Quebec, QC)",G2N,323,8.93,8.93,31035228.5,31796.238354131285,1753800183770,Synapse54,1753800183770,Synapse54
49,"G3A (St-Augustin-De-Desmaures, QC)",G3A,1891,20.67,20.67,188876871.0,74472.4753726992,1753800183770,Synapse54,1753800183770,Synapse54
50,"G3B (Lac-Beauport, QC)",G3B,134,3.92,3.92,139197319.5,64423.23371099803,1753800183770,Synapse54,1753800183770,Synapse54
51,"G3C (Stoneham-Et-Tewkesbury, QC)",G3C,382,8.42,8.42,1330849498.5,175874.56931808186,1753800183770,Synapse54,1753800183770,Synapse54
52,"G3E (Quebec, QC)",G3E,402,6.35,6.35,18489209.0,20620.301807363456,1753800183770,Synapse54,1753800183770,Synapse54
53,"G3G (Quebec, QC)",G3G,158,3.69,3.69,83002473.0,53192.861834286385,1753800183770,Synapse54,1753800183770,Synapse54
54,"G3H (Pont-Rouge, QC)",G3H,294,6.41,6.41,279179695.0,100842.62742278028,1753800183770,Synapse54,1753800183770,Synapse54
55,"G3J (Quebec, QC)",G3J,786,16.79,16.79,85589532.0,54640.87343863765,1753800183770,Synapse54,1753800183770,Synapse54
56,"G3K (Quebec, QC)",G3K,1025,11.96,11.96,66926850.0,43417.9629367511,1753800183770,Synapse54,1753800183770,Synapse54
57,"G3L (Saint-Raymond, QC)",G3L,195,3.66,3.66,2499240685.5,293711.66523440205,1753800183770,Synapse54,1753800183770,Synapse54
58,"G3M (Donnacona, QC)",G3M,300,8.38,8.38,76895468.5,38932.06578942634,1753800183770,Synapse54,1753800183770,Synapse54
59,"G3N (Ste-Catherine-De-La-J-Cartier, QC)",G3N,248,5.36,5.36,179093818.5,91193.27748891739,1753800183770,Synapse54,1753800183770,Synapse54
60,"G3S (Quebec, QC)",G3S,188,7.08,7.08,162242772.5,88360.35793053103,1753800183770,Synapse54,1753800183770,Synapse54
61,"G3Z (Baie-Saint-Paul, QC)",G3Z,205,5.53,5.53,1221045873.0,165284.53951195258,1753800183770,Synapse54,1753800183770,Synapse54
62,"G4A (Clermont, QC)",G4A,79,5.11,5.11,1226794529.0,167560.43929327332,1753800183770,Synapse54,1753800183770,Synapse54
63,"G4R (Sept-Iles, QC)",G4R,384,4.16,4.16,1888740693.0195312,364416.3918226564,1753800183770,Synapse54,1753800183770,Synapse54
64,"G4S (Sept-Iles, QC)",G4S,0,0.0,0.0,13736729.5,31952.335224803264,1753800183770,Synapse54,1753800183770,Synapse54
65,"G4T (Les Iles-De-La-Madeleine, QC)",G4T,300,4.78,4.78,500054815.0,511013.5871236407,1753800183770,Synapse54,1753800183770,Synapse54
66,"G4V (Sainte-Anne-Des-Monts, QC)",G4V,181,5.58,5.58,780273522.0,168670.12216022852,1753800183770,Synapse54,1753800183770,Synapse54
67,"G4W (Matane, QC)",G4W,582,7.83,7.83,466220652.0,100520.51806568402,1753800183770,Synapse54,1753800183770,Synapse54
68,"G4X (Gaspe, QC)",G4X,363,5.06,5.06,2615126201.546875,406673.89112098655,1753800183770,Synapse54,1753800183770,Synapse54
69,"G4Z (Baie-Comeau, QC)",G4Z,179,4.07,4.07,1669244051.0,336717.80497552885,1753800183770,Synapse54,1753800183770,Synapse54
70,"G5A (La Malbaie, QC)",G5A,286,7.14,7.14,905867526.5,176911.55690727945,1753800183770,Synapse54,1753800183770,Synapse54
71,"G5B (Port-Cartier, QC)",G5B,164,5.89,5.89,742256392.5,203831.72178845698,1753800183770,Synapse54,1753800183770,Synapse54
72,"G5C (Baie-Comeau, QC)",G5C,332,6.31,6.31,78061848.0,48691.63220890317,1753800183770,Synapse54,1753800183770,Synapse54
73,"G5H (Mont-Joli, QC)",G5H,248,7.4,7.4,128376656.5,53923.191144203476,1753800183770,Synapse54,1753800183770,Synapse54
74,"G5J (Amqui, QC)",G5J,193,6.43,6.43,310530648.5,97437.56642828621,1753800183770,Synapse54,1753800183770,Synapse54
75,"G5L (Rimouski, QC)",G5L,1762,11.67,11.67,115966883.0,88926.49071239203,1753800183770,Synapse54,1753800183770,Synapse54
76,"G5M (Rimouski, QC)",G5M,475,11.65,11.65,66332097.0,52169.63739391678,1753800183770,Synapse54,1753800183770,Synapse54
77,"G5N (Rimouski, QC)",G5N,153,4.12,4.12,414167429.0,104413.83144964176,1753800183770,Synapse54,1753800183770,Synapse54
78,"G5R (Riviere-Du-Loup, QC)",G5R,951,9.56,9.56,182737573.0,77061.18159356514,1753800183770,Synapse54,1753800183770,Synapse54
79,"G5T (Degelis, QC)",G5T,121,8.5,8.5,1107888892.0,146757.59518407704,1753800183770,Synapse54,1753800183770,Synapse54
80,"G5V (Montmagny, QC)",G5V,539,9.36,9.36,282245095.0,82682.88684580137,1753800183770,Synapse54,1753800183770,Synapse54
81,"G5X (Beauceville, QC)",G5X,236,8.35,8.35,336857190.0,91090.00846556539,1753800183770,Synapse54,1753800183770,Synapse54
82,"G5Y (Saint-Georges, QC)",G5Y,1535,12.79,12.79,169548327.0,148240.89990521545,1753800183770,Synapse54,1753800183770,Synapse54
83,"G5Z (Saint-Georges, QC)",G5Z,233,6.95,6.95,219710089.0,133870.3845435117,1753800183770,Synapse54,1753800183770,Synapse54
84,"G6A (Saint-Georges, QC)",G6A,112,12.89,12.89,12731588.0,28099.846637013223,1753800183770,Synapse54,1753800183770,Synapse54
85,"G6B (Lac-Megantic, QC)",G6B,345,8.16,8.16,525968305.0,147830.6226949515,1753800183770,Synapse54,1753800183770,Synapse54
86,"G6C (Pintendre, QC)",G6C,382,10.46,10.46,171728656.5,62758.50767570228,1753800183770,Synapse54,1753800183770,Synapse54
87,"G6E (Sainte-Marie, QC)",G6E,757,12.96,12.96,242749292.5,88129.38426536831,1753800183770,Synapse54,1753800183770,Synapse54
88,"G6G (Thetford Mines, QC)",G6G,771,7.68,7.68,432553661.5,137866.85051543516,1753800183770,Synapse54,1753800183770,Synapse54
89,"G6H (Thetford Mines, QC)",G6H,126,3.95,3.95,381525955.5,208711.52055490302,1753800183770,Synapse54,1753800183770,Synapse54
90,"G6J (Saint-Etienne-De-Lauzon, QC)",G6J,328,7.17,7.17,170941088.5,68005.84099520143,1753800183770,Synapse54,1753800183770,Synapse54
91,"G6K (Saint-Redempteur, QC)",G6K,187,5.63,5.63,8847420.0,13869.752401834681,1753800183770,Synapse54,1753800183770,Synapse54
92,"G6L (Plessisville, QC)",G6L,553,7.42,7.42,727703425.5,150480.86599396955,1753800183770,Synapse54,1753800183770,Synapse54
93,"G6P (Victoriaville, QC)",G6P,1393,9.11,9.11,43162857.0,67077.33804588739,1753800183770,Synapse54,1753800183770,Synapse54
94,"G6R (Victoriaville, QC)",G6R,83,4.46,4.46,111890007.5,67049.5189257073,1753800183770,Synapse54,1753800183770,Synapse54
95,"G6S (Victoriaville, QC)",G6S,228,9.69,9.69,93883157.5,65606.32420350032,1753800183770,Synapse54,1753800183770,Synapse54
96,"G6T (Victoriaville, QC)",G6T,315,6.42,6.42,97646146.0,79862.46403678902,1753800183770,Synapse54,1753800183770,Synapse54
97,"G6V (Levis, QC)",G6V,2392,14.15,14.15,51005706.5,85820.66591178898,1753800183770,Synapse54,1753800183770,Synapse54
98,"G6W (Levis, QC)",G6W,2196,17.43,17.43,54365583.5,57031.8227070878,1753800183770,Synapse54,1753800183770,Synapse54
99,"G6X (Levis, QC)",G6X,710,14.85,14.85,17532207.0,18566.178953389182,1753800183770,Synapse54,1753800183770,Synapse54
100,"G6Y (Levis, QC)",G6Y,616,18.01,18.01,48673784.5,36076.08982567784,1753800183770,Synapse54,1753800183770,Synapse54
101,"G6Z (Saint-Jean-Chrysostome, QC)",G6Z,665,6.72,6.72,206313300.5,81637.94553350794,1753800183770,Synapse54,1753800183770,Synapse54
102,"G7A (Saint-Nicolas, QC)",G7A,996,9.04,9.04,206385794.0,76585.07395132218,1753800183770,Synapse54,1753800183770,Synapse54
103,"G7B (La Baie, QC)",G7B,614,7.16,7.16,731098795.5,122236.04683671948,1753800183770,Synapse54,1753800183770,Synapse54
104,"G7G (Chicoutimi, QC)",G7G,612,8.05,8.05,83451590.0,72026.82978856695,1753800183770,Synapse54,1753800183770,Synapse54
105,"G7H (Chicoutimi, QC)",G7H,2424,16.18,16.18,335780132.5,155297.87503251838,1753800183770,Synapse54,1753800183770,Synapse54
106,"G7J (Chicoutimi, QC)",G7J,878,12.31,12.31,48516569.0,31553.718168111947,1753800183770,Synapse54,1753800183770,Synapse54
107,"G7K (Chicoutimi, QC)",G7K,30,8.26,8.26,13787400.5,25129.491914885974,1753800183770,Synapse54,1753800183770,Synapse54
108,"G7N (Laterriere, QC)",G7N,112,4.2,4.2,572266521.5,131134.86527943268,1753800183770,Synapse54,1753800183770,Synapse54
109,"G7P (Chicoutimi, QC)",G7P,115,3.45,3.45,535052258.5,133662.40227307807,1753800183770,Synapse54,1753800183770,Synapse54
110,"G7S (Jonquiere, QC)",G7S,737,8.4,8.4,90965725.5,53543.07738017431,1753800183770,Synapse54,1753800183770,Synapse54
111,"G7T (Jonquiere, QC)",G7T,109,13.54,13.54,11024436.0,23113.794147733155,1753800183770,Synapse54,1753800183770,Synapse54
112,"G7X (Jonquiere, QC)",G7X,1389,10.43,10.43,675028246.5,279259.2165036962,1753800183770,Synapse54,1753800183770,Synapse54
113,"G7Y (Jonquiere, QC)",G7Y,26,8.72,8.72,28364189.0,37375.76013155794,1753800183770,Synapse54,1753800183770,Synapse54
114,"G7Z (Jonquiere, QC)",G7Z,33,3.02,3.02,16183341.0,21290.870310459137,1753800183770,Synapse54,1753800183770,Synapse54
115,"G8A (Jonquiere, QC)",G8A,271,9.38,9.38,52092756.5,55678.19403946566,1753800183770,Synapse54,1753800183770,Synapse54
116,"G8B (Alma, QC)",G8B,930,8.91,8.91,297457310.0,211237.01895446505,1753800183770,Synapse54,1753800183770,Synapse54
117,"G8C (Alma, QC)",G8C,196,8.54,8.54,47590945.0,51183.77436174367,1753800183770,Synapse54,1753800183770,Synapse54
118,"G8E (Alma, QC)",G8E,82,4.72,4.72,198550679.5,111351.61663855895,1753800183770,Synapse54,1753800183770,Synapse54
119,"G8G (Metabetchouan-Lac-A-La-Croix, QC)",G8G,77,4.02,4.02,435537293.5,100773.33142038128,1753800183770,Synapse54,1753800183770,Synapse54
120,"G8H (Roberval, QC)",G8H,330,6.63,6.63,543189787.1757812,135904.14248114204,1753800183770,Synapse54,1753800183770,Synapse54
121,"G8J (Chicoutimi, QC)",G8J,68,3.59,3.59,2344096837.0,302744.5493028244,1753800183770,Synapse54,1753800183770,Synapse54
122,"G8K (Saint-Felicien, QC)",G8K,359,7.21,7.21,860422895.5,186957.39961478047,1753800183770,Synapse54,1753800183770,Synapse54
123,"G8L (Dolbeau-Mistassini, QC)",G8L,472,7.05,7.05,3537542888.8203125,527284.6001355818,1753800183770,Synapse54,1753800183770,Synapse54
124,"G8M (Normandin, QC)",G8M,88,3.8,3.8,1017813603.5,185656.56193391615,1753800183770,Synapse54,1753800183770,Synapse54
125,"G8N (Hebertville, QC)",G8N,54,4.77,4.77,473865737.0,121456.61747790436,1753800183770,Synapse54,1753800183770,Synapse54
126,"G8P (Chibougamau, QC)",G8P,228,6.97,6.97,2435879767.5,197043.63571528325,1753800183770,Synapse54,1753800183770,Synapse54
127,"G8T (Trois-Rivieres, QC)",G8T,1101,7.73,7.73,53667241.0,76442.1934749919,1753800183770,Synapse54,1753800183770,Synapse54
128,"G8V (Trois-Rivieres, QC)",G8V,269,5.74,5.74,104632608.0,66015.1834431966,1753800183770,Synapse54,1753800183770,Synapse54
129,"G8W (Trois-Rivieres, QC)",G8W,424,8.28,8.28,128446737.0,76697.25349343411,1753800183770,Synapse54,1753800183770,Synapse54
130,"G8Y (Trois-Rivieres, QC)",G8Y,2226,13.53,13.53,45724725.5,37933.330899285655,1753800183770,Synapse54,1753800183770,Synapse54
131,"G8Z (Trois-Rivieres, QC)",G8Z,967,12.93,12.93,16678138.0,22099.08240994394,1753800183770,Synapse54,1753800183770,Synapse54
132,"G9A (Trois-Rivieres, QC)",G9A,1397,11.49,11.49,105086814.0,113245.62209754915,1753800183770,Synapse54,1753800183770,Synapse54
133,"G9B (Trois-Rivieres, QC)",G9B,770,8.95,8.95,216934834.5,89385.35803757486,1753800183770,Synapse54,1753800183770,Synapse54
134,"G9C (Trois-Rivieres, QC)",G9C,224,12.64,12.64,12875179.0,26201.339674832936,1753800183770,Synapse54,1753800183770,Synapse54
135,"G9H (Becancour, QC)",G9H,617,9.19,9.19,965246378.5,214717.67022828877,1753800183770,Synapse54,1753800183770,Synapse54
136,"G9N (Shawinigan, QC)",G9N,564,6.17,6.17,149583035.5,113854.1611209567,1753800183770,Synapse54,1753800183770,Synapse54
137,"G9P (Shawinigan, QC)",G9P,252,4.28,4.28,32510118.0,38949.97843748969,1753800183770,Synapse54,1753800183770,Synapse54
138,"G9R (Shawinigan, QC)",G9R,31,2.6,2.6,156430596.5,105284.31387222232,1753800183770,Synapse54,1753800183770,Synapse54
139,"G9T (Grand-Mere, QC)",G9T,436,5.02,5.02,175921560.5,90399.15322236488,1753800183770,Synapse54,1753800183770,Synapse54
140,"G9X (La Tuque, QC)",G9X,291,5.48,5.48,4798536478.5,388015.362952818,1753800183770,Synapse54,1753800183770,Synapse54
141,"H0M (Akwesasne, QC)",H0M,0,0.0,0.0,4195699.0,36371.52492841964,1753800183770,Synapse54,1753800183770,Synapse54
142,"H1A (Montreal, QC)",H1A,3928,25.44,25.44,32047972.5,27217.161718354222,1753800183770,Synapse54,1753800183770,Synapse54
143,"H1B (Montreal, QC)",H1B,1119,12.01,12.01,42382103.0,29920.24369847441,1753800183770,Synapse54,1753800183770,Synapse54
144,"H1C (Montreal, QC)",H1C,698,13.81,13.81,26679819.5,25870.587310829436,1753800183770,Synapse54,1753800183770,Synapse54
145,"H1E (Montreal, QC)",H1E,2808,16.19,16.19,29995565.0,23264.2709841518,1753800183770,Synapse54,1753800183770,Synapse54
146,"H1G (Montreal, QC)",H1G,2795,13.31,13.31,16132403.5,17322.15503203977,1753800183770,Synapse54,1753800183770,Synapse54
147,"H1H (Montreal, QC)",H1H,2526,15.16,15.16,10210927.5,13709.108640935121,1753800183770,Synapse54,1753800183770,Synapse54
148,"H1J (Montreal, QC)",H1J,1544,31.81,31.81,18502722.0,18581.449355666224,1753800183770,Synapse54,1753800183770,Synapse54
149,"H1K (Montreal, QC)",H1K,2586,16.31,16.31,12667226.5,15052.99246391506,1753800183770,Synapse54,1753800183770,Synapse54
150,"H1L (Montreal, QC)",H1L,2777,16.46,16.46,13596541.5,17573.19469361058,1753800183770,Synapse54,1753800183770,Synapse54
151,"H1M (Montreal, QC)",H1M,3535,24.64,24.64,10690212.5,15457.65729265879,1753800183770,Synapse54,1753800183770,Synapse54
152,"H1N (Montreal, QC)",H1N,2288,18.72,18.72,114734629.5,108616.9951420107,1753800183770,Synapse54,1753800183770,Synapse54
153,"H1P (Montreal, QC)",H1P,1168,15.1,15.1,10601632.5,14342.38560083787,1753800183770,Synapse54,1753800183770,Synapse54
154,"H1R (Montreal, QC)",H1R,1140,9.34,9.34,9518827.0,14180.86920094836,1753800183770,Synapse54,1753800183770,Synapse54
155,"H1S (Montreal, QC)",H1S,2534,22.1,22.1,7438851.0,13261.062397135287,1753800183770,Synapse54,1753800183770,Synapse54
156,"H1T (Montreal, QC)",H1T,2816,17.58,17.58,8407123.5,15836.037610683787,1753800183770,Synapse54,1753800183770,Synapse54
157,"H1V (Montreal, QC)",H1V,3385,27.82,27.82,6852649.0,10988.833869692491,1753800183770,Synapse54,1753800183770,Synapse54
158,"H1W (Montreal, QC)",H1W,4040,22.47,22.47,6100526.0,11263.239274717751,1753800183770,Synapse54,1753800183770,Synapse54
159,"H1X (Montreal, QC)",H1X,3612,22.25,22.25,8450164.0,13619.608619583656,1753800183770,Synapse54,1753800183770,Synapse54
160,"H1Y (Montreal, QC)",H1Y,3616,23.49,23.49,5352874.0,10916.549919811729,1753800183770,Synapse54,1753800183770,Synapse54
161,"H1Z (Montreal, QC)",H1Z,1566,10.79,10.79,14307589.5,14883.881987328181,1753800183770,Synapse54,1753800183770,Synapse54
162,"H2A (Montreal, QC)",H2A,1550,15.9,15.9,4232942.0,8758.55230005682,1753800183770,Synapse54,1753800183770,Synapse54
163,"H2B (Montreal, QC)",H2B,997,11.74,11.74,5947505.5,9676.70118562271,1753800183770,Synapse54,1753800183770,Synapse54
164,"H2C (Montreal, QC)",H2C,1380,14.58,14.58,5556278.0,9971.926462140602,1753800183770,Synapse54,1753800183770,Synapse54
165,"H2E (Montreal, QC)",H2E,1382,11.98,11.98,3830518.5,8073.841629300861,1753800183770,Synapse54,1753800183770,Synapse54
166,"H2G (Montreal, QC)",H2G,1816,15.96,15.96,4217958.5,9248.80721597901,1753800183770,Synapse54,1753800183770,Synapse54
167,"H2H (Montreal, QC)",H2H,1758,23.64,23.64,2682198.0,6982.709947140798,1753800183770,Synapse54,1753800183770,Synapse54
168,"H2J (Montreal, QC)",H2J,4190,27.75,27.75,3975815.0,8085.511309426667,1753800183770,Synapse54,1753800183770,Synapse54
169,"H2K (Montreal, QC)",H2K,4631,26.41,26.41,5762510.0,9775.787359183401,1753800183770,Synapse54,1753800183770,Synapse54
170,"H2L (Montreal, QC)",H2L,6360,37.0,37.0,5652250.0,10530.305700195246,1753800183770,Synapse54,1753800183770,Synapse54
171,"H2M (Montreal, QC)",H2M,2630,27.9,27.9,6840427.0,11504.156734199103,1753800183770,Synapse54,1753800183770,Synapse54
172,"H2N (Montreal, QC)",H2N,518,18.14,18.14,2336770.0,6414.770804238481,1753800183770,Synapse54,1753800183770,Synapse54
173,"H2P (Montreal, QC)",H2P,1232,16.25,16.25,3440041.0,8481.97690702558,1753800183770,Synapse54,1753800183770,Synapse54
174,"H2R (Montreal, QC)",H2R,2834,21.63,21.63,4573627.0,8588.564684485442,1753800183770,Synapse54,1753800183770,Synapse54
175,"H2S (Montreal, QC)",H2S,3960,24.47,24.47,5062352.5,9483.95666520098,1753800183770,Synapse54,1753800183770,Synapse54
176,"H2T (Montreal, QC)",H2T,2639,27.41,27.41,2792933.0,7309.603445409373,1753800183770,Synapse54,1753800183770,Synapse54
177,"H2V (Montreal, QC)",H2V,3843,29.49,29.49,9406781.5,15649.479624539856,1753800183770,Synapse54,1753800183770,Synapse54
178,"H2W (Montreal, QC)",H2W,1524,24.73,24.73,2122029.5,6886.736160398394,1753800183770,Synapse54,1753800183770,Synapse54
179,"H2X (Montreal, QC)",H2X,4133,28.28,28.28,3260860.5,9016.990098210114,1753800183770,Synapse54,1753800183770,Synapse54
180,"H2Y (Montreal, QC)",H2Y,2037,77.16,77.16,1658875.0,7811.331119881591,1753800183770,Synapse54,1753800183770,Synapse54
181,"H2Z (Montreal, QC)",H2Z,2128,79.4,79.4,598367.5,3228.1201023826216,1753800183770,Synapse54,1753800183770,Synapse54
182,"H3A (Montreal, QC)",H3A,2242,67.45,67.45,1952640.0,8051.6260641867375,1753800183770,Synapse54,1753800183770,Synapse54
183,"H3B (Montreal, QC)",H3B,1372,91.04,91.04,927950.0,5036.520981944944,1753800183770,Synapse54,1753800183770,Synapse54
184,"H3C (Montreal, QC)",H3C,12441,88.45,88.45,17209727.0,33681.90517416176,1753800183770,Synapse54,1753800183770,Synapse54
185,"H3E (Montreal, QC)",H3E,6658,60.13,60.13,9825716.5,14615.034290309737,1753800183770,Synapse54,1753800183770,Synapse54
186,"H3G (Montreal, QC)",H3G,4987,60.27,60.27,2139910.0,8520.81981818768,1753800183770,Synapse54,1753800183770,Synapse54
187,"H3H (Montreal, QC)",H3H,4370,33.55,33.55,5138945.5,17420.06994824536,1753800183770,Synapse54,1753800183770,Synapse54
188,"H3J (Montreal, QC)",H3J,2767,42.47,42.47,2674031.0,6742.466153977455,1753800183770,Synapse54,1753800183770,Synapse54
189,"H3K (Montreal, QC)",H3K,2323,29.08,29.08,6571158.0,11318.657050191392,1753800183770,Synapse54,1753800183770,Synapse54
190,"H3L (Montreal, QC)",H3L,1533,14.99,14.99,8682987.0,13055.356607199148,1753800183770,Synapse54,1753800183770,Synapse54
191,"H3M (Montreal, QC)",H3M,595,9.51,9.51,5900605.5,11105.82837103115,1753800183770,Synapse54,1753800183770,Synapse54
192,"H3N (Montreal, QC)",H3N,1513,11.83,11.83,3362662.5,8891.918324885475,1753800183770,Synapse54,1753800183770,Synapse54
193,"H3P (Montreal, QC)",H3P,636,16.58,16.58,5651704.5,9798.453260458433,1753800183770,Synapse54,1753800183770,Synapse54
194,"H3R (Montreal, QC)",H3R,504,13.01,13.01,5400500.0,9553.23690396402,1753800183770,Synapse54,1753800183770,Synapse54
195,"H3S (Montreal, QC)",H3S,2822,17.99,17.99,5351564.5,9656.774003388971,1753800183770,Synapse54,1753800183770,Synapse54
